,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Did Not Rank,Final Rank + Did Not Rank
"Fantini, Alfred B.",2281.00,4074.00,4895.00,5448.00,5909.00,6325.00,6633.00,6911.00,9278.00,16189.00
"Grassi, Joseph G.",1990.00,3835.00,4855.00,5489.00,6015.00,6510.00,6838.00,6995.00,9194.00,16189.00
"Harding, Richard, Jr.",1981.00,3144.00,4563.00,5644.00,6394.00,6882.00,7115.00,7268.00,8921.00,16189.00
"Lummis, Ben",1514.00,3010.00,4409.00,5510.00,6222.00,6698.00,6950.00,7099.00,9090.00,16189.00
"McGovern, Marc C.",1413.00,2974.00,4527.00,5572.00,6390.00,6863.00,7070.00,7228.00,8961.00,16189.00
"Nolan, Patricia M.",2387.00,4080.00,5300.00,6027.00,6491.00,6827.00,7120.00,7276.00,8913.00,16189.00
"Schuster, Luc",1843.00,3394.00,4386.00,5015.00,5483.00,5800.00,6062.00,6380.00,9809.00,16189.00
"Walser, Nancy",2004.00,3873.00,5533.00,6534.00,7135.00,7590.00,7786.00,7948.00,8241.00,16189.00
writeIns,57.00,89.00,104.00,121.00,129.00,134.00,137.00,141.00,16048.00,16189.00
