,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
Andrew Sullivan,2477.00,4235.00,5426.00,33829.00,39255.00
Bill Barnes,1664.00,3301.00,5494.00,33761.00,39255.00
Brett Wheeler,832.00,1729.00,2775.00,36480.00,39255.00
Dan Kalb,1398.00,3827.00,5820.00,33435.00,39255.00
Emmett Gilman,393.00,876.00,1375.00,37880.00,39255.00
Francis Somesel,368.00,838.00,1310.00,37945.00,39255.00
H. Brown,57.00,159.00,301.00,38954.00,39255.00
Jim Siegel,1540.00,2735.00,3830.00,35425.00,39255.00
Joseph Blue,802.00,1444.00,2021.00,37234.00,39255.00
Julian Davis,418.00,952.00,1599.00,37656.00,39255.00
Lisa Feldstein,3257.00,7105.00,12474.00,26781.00,39255.00
Michael E. O'connor,868.00,1760.00,2534.00,36721.00,39255.00
Nick Waugh,3025.00,5774.00,7956.00,31299.00,39255.00
Patrick M. Ciocca,91.00,218.00,422.00,38833.00,39255.00
Phillip House,62.00,141.00,286.00,38969.00,39255.00
Phoenix Streets,657.00,1508.00,2435.00,36820.00,39255.00
Rob Anderson,336.00,647.00,1211.00,38044.00,39255.00
Robert Haaland,5124.00,10915.00,13763.00,25492.00,39255.00
Ross Mirkarimi,9947.00,13926.00,16493.00,22762.00,39255.00
Susan C. King,977.00,2349.00,4024.00,35231.00,39255.00
Tys Sniffen,686.00,1496.00,2471.00,36784.00,39255.00
Vivian Wilder,130.00,380.00,752.00,38503.00,39255.00
