,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
BARBARA PARKER,57.42,71.94,72.06,27.94,100.00
JANE BRUNNER,25.82,50.06,50.36,49.64,100.00
writeIns,0.68,2.22,5.79,94.21,100.00
