,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
SOPHIE HAHN,5821.00,7110.00,7110.00,3137.00,10247.00
STEPHEN MURPHY,3502.00,5846.00,5846.00,4401.00,10247.00
