,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
CORINA LOPEZ,45.97,60.80,72.25,27.75,100.00
LEAH HALL,20.27,39.99,62.02,37.98,100.00
MIA OUSLEY,19.14,44.98,61.68,38.32,100.00
