,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
ARNOLD FIELDS,733.00,2293.00,4708.00,117560.00,122268.00
DON MACLEAY,1630.00,3497.00,6284.00,115984.00,122268.00
DON PERATA,40342.00,54888.00,65569.00,56699.00,122268.00
GREG HARLAND,966.00,2855.00,5528.00,116740.00,122268.00
JEAN QUAN,29266.00,57909.00,74723.00,47545.00,122268.00
JOE TUMAN,14347.00,30237.00,46162.00,76106.00,122268.00
LARRY LIONEL ''LL'' YOUNG JR.,933.00,3041.00,6632.00,115636.00,122268.00
MARCIE HODGE,2994.00,8783.00,16811.00,105457.00,122268.00
REBECCA KAPLAN,25813.00,51540.00,69472.00,52796.00,122268.00
TERENCE CANDELL,2315.00,5946.00,10632.00,111636.00,122268.00
writeIns,268.00,789.00,1618.00,120650.00,122268.00
