,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
Al Flowers,711.00,2716.00,5378.00,100550.00,105928.00
Aswar Rahman,756.00,2671.00,5325.00,100603.00,105928.00
Betsy Hodges,18915.00,33686.00,49901.00,56027.00,105928.00
Captain Jack Sparrow,438.00,1538.00,4198.00,101730.00,105928.00
Charlie Gers,1233.00,2117.00,3041.00,102887.00,105928.00
Christopher Zimmerman,1.00,1.00,3.00,105925.00,105928.00
David John Wilson,220.00,642.00,1664.00,104264.00,105928.00
David Rosenfeld,477.00,1272.00,2502.00,103426.00,105928.00
Gregg A. Iverson,335.00,1255.00,2759.00,103169.00,105928.00
Ian Simpson,119.00,356.00,853.00,105075.00,105928.00
Jacob Frey,26116.00,44051.00,54769.00,51159.00,105928.00
L.A. Nik,612.00,1399.00,2347.00,103581.00,105928.00
Nekima Levy-Pounds,15716.00,31553.00,43952.00,61976.00,105928.00
Raymond Dehn,18101.00,33269.00,44095.00,61833.00,105928.00
Ronald Lischeid,325.00,741.00,1304.00,104624.00,105928.00
Theron Preston Washington,0.00,0.00,1.00,105927.00,105928.00
Tom Hoch,20125.00,37077.00,47007.00,58921.00,105928.00
Troy Benjegerdes,184.00,428.00,781.00,105147.00,105928.00
writeIns,138.00,314.00,665.00,105263.00,105928.00
