,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
ANTHONY Di DONATO,2.99,8.67,17.83,82.17,100.00
JASPER KINGETER,19.89,41.74,52.94,47.06,100.00
LINDA MAIO,58.12,68.53,74.45,25.55,100.00
MERRILIE MITCHELL,7.41,25.46,40.10,59.90,100.00
writeIns,0.30,0.53,0.86,99.14,100.00
