,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Did Not Rank
"Fantini, Alfred B.",14.91,21.01,25.90,30.07,33.21,35.95,37.33,38.19,38.84,39.40,39.93,60.07
"Forster, Bill",2.07,4.73,7.39,9.68,11.43,13.10,14.52,15.79,16.88,17.72,18.27,81.73
"Gerber, Joyce C.",2.73,6.39,10.02,13.05,15.67,17.56,18.82,20.10,21.11,22.00,22.42,77.58
"Harding, Jr., Richard",11.64,20.00,26.79,31.83,35.81,38.83,39.93,40.59,41.07,41.51,41.80,58.20
"Holland, John J.",2.44,5.31,8.17,10.46,12.70,14.08,15.25,16.18,17.34,18.17,18.89,81.11
"McGovern, Marc C.",11.14,22.19,31.36,37.93,42.15,44.69,45.70,46.30,46.80,47.13,47.41,52.59
"Nolan, Patricia M.",13.37,24.19,33.29,39.59,43.22,45.36,46.27,46.84,47.28,47.67,47.93,52.07
"Osborne, Mervan F.",12.98,20.99,26.92,30.85,33.56,35.51,36.57,37.49,38.10,38.86,39.32,60.68
"Stead, Sr., Charles Lewis",1.84,4.94,7.87,9.80,11.59,12.73,13.76,14.68,15.54,16.47,17.51,82.49
"Tauber, Nancy",9.37,21.42,31.50,37.76,41.97,44.45,45.51,46.09,46.50,46.83,47.08,52.92
"Turkel, Alice L.",13.28,24.90,34.37,40.07,43.77,46.16,47.18,47.76,48.25,48.55,48.80,51.20
writeIns,0.36,0.47,0.58,0.66,0.74,0.79,0.83,0.84,0.87,0.87,0.89,99.11
