,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
CARMEN CHU,236697.00,271104.00,271104.00,97474.00,368578.00
PAUL BELLAR,80479.00,179233.00,179233.00,189345.00,368578.00
