,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Did Not Rank,Final Rank + Did Not Rank
Alan Webber,8080.00,11939.00,14368.00,16019.00,17587.00,3083.00,20670.00
Joseph M. Maestas,1649.00,6092.00,10031.00,13746.00,15548.00,5122.00,20670.00
Kate I. Noble,4611.00,9502.00,12962.00,15109.00,16686.00,3984.00,20670.00
Peter N. Ives,1238.00,4397.00,8862.00,13040.00,15488.00,5182.00,20670.00
Ronald S. Trujillo,5026.00,6528.00,8144.00,10455.00,15936.00,4734.00,20670.00
