,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
ANTHONY WILSON,1.16,1.31,1.31,98.69,100.00
SHANTHI GONZALES,71.47,71.79,71.79,28.21,100.00
