,Rank 1,Rank 2,Rank 3,Did Not Rank
BRYAN PARKER,7.59,14.71,22.57,77.43
CHARLES R. WILLIAMS,1.00,2.19,3.45,96.55
COURTNEY RUBY,2.97,8.35,14.91,85.09
DAN SIEGEL,12.52,22.48,31.77,68.23
ERIC WILSON,0.37,1.25,2.39,97.61
JASON ANDERSON,1.48,2.76,4.03,95.97
JEAN QUAN,15.08,23.42,32.22,67.78
JOE TUMAN,11.69,24.88,34.22,65.78
KEN HOUSTON,0.49,1.15,2.04,97.96
LIBBY SCHAAF,28.66,45.02,54.92,45.08
NANCY SIDEBOTHAM,0.25,0.77,1.57,98.43
PAT MCCULLOUGH,0.35,0.99,1.97,98.03
PETER LIU,0.44,1.43,2.52,97.48
REBECCA KAPLAN,14.02,29.09,40.72,59.28
SAIED KARAMOOZ,0.25,1.51,2.59,97.41
SAMMUEL WASHINGTON,0.03,0.05,0.09,99.91
