,Rank 1,Rank 2,Rank 3,Did Not Rank
BENNY LEE,35.78,47.94,57.96,42.04
CHRIS CROW,19.81,35.82,50.62,49.38
DARLENE DAEVU,16.22,35.44,49.21,50.79
JUSTIN HUTCHISON,8.48,20.46,32.56,67.44
writeIns,0.79,1.22,1.61,98.39
