,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
ANTHONY WILSON,227.00,256.00,256.00,19283.00,19539.00
SHANTHI GONZALES,13964.00,14027.00,14027.00,5512.00,19539.00
