,Rank 1,Rank 2,Rank 3,Rank 4,Did Not Rank
Harvey Curley,31.29,48.75,61.05,74.75,25.25
Larry Edwards,9.02,22.25,42.59,59.36,40.64
Mary Hall-Rayford,20.56,39.42,52.98,65.79,34.21
Sarah A. Lucido,36.02,67.02,75.67,80.86,19.14
writeIns,0.37,0.80,1.63,2.08,97.92
