,Rank 1,Rank 2,Rank 3,Did Not Rank
BRYAN PARKER,7955.00,15425.00,23661.00,81173.00
CHARLES R. WILLIAMS,1052.00,2295.00,3617.00,101217.00
COURTNEY RUBY,3115.00,8754.00,15631.00,89203.00
DAN SIEGEL,13122.00,23567.00,33305.00,71529.00
ERIC WILSON,393.00,1314.00,2503.00,102331.00
JASON ANDERSON,1550.00,2895.00,4229.00,100605.00
JEAN QUAN,15808.00,24549.00,33777.00,71057.00
JOE TUMAN,12251.00,26083.00,35871.00,68963.00
KEN HOUSTON,518.00,1208.00,2139.00,102695.00
LIBBY SCHAAF,30041.00,47192.00,57574.00,47260.00
NANCY SIDEBOTHAM,267.00,808.00,1644.00,103190.00
PAT MCCULLOUGH,362.00,1039.00,2064.00,102770.00
PETER LIU,464.00,1504.00,2640.00,102194.00
REBECCA KAPLAN,14693.00,30493.00,42685.00,62149.00
SAIED KARAMOOZ,264.00,1578.00,2717.00,102117.00
SAMMUEL WASHINGTON,33.00,56.00,93.00,104741.00
