,Rank 1,Rank 2,Rank 3,Rank 4,Did Not Rank
CHESA BOUDIN,68792.00,89602.00,106566.00,124106.00,81979.00
LEIF DAUTCH,27025.00,63323.00,89782.00,101215.00,104870.00
NANCY TUNG,37347.00,66296.00,88673.00,103446.00,102639.00
SUZY LOFTUS,60002.00,89863.00,109281.00,125230.00,80855.00
writeIns,4.00,8.00,10.00,14.00,206071.00
