,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Did Not Rank,Final Rank + Did Not Rank
Alan Webber,39.09,57.76,69.51,77.50,85.08,14.92,100.00
Joseph M. Maestas,7.98,29.47,48.53,66.50,75.22,24.78,100.00
Kate I. Noble,22.31,45.97,62.71,73.10,80.73,19.27,100.00
Peter N. Ives,5.99,21.27,42.87,63.09,74.93,25.07,100.00
Ronald S. Trujillo,24.32,31.58,39.40,50.58,77.10,22.90,100.00
