,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Did Not Rank,Final Rank + Did Not Rank
Andy Montroll,2063.00,4700.00,6095.00,6591.00,6701.00,2283.00,8984.00
Bob Kiss,2585.00,3989.00,4950.00,5690.00,6180.00,2804.00,8984.00
Dan Smith,1306.00,3413.00,5218.00,5965.00,6091.00,2893.00,8984.00
James Simpson,35.00,342.00,1000.00,2036.00,3388.00,5596.00,8984.00
Kurt Wright,2951.00,3945.00,4665.00,5381.00,6085.00,2899.00,8984.00
writeIns,36.00,82.00,124.00,168.00,239.00,8745.00,8984.00
