,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
Kale Severson,5089.00,6984.00,7007.00,4155.00,11162.00
Mike Talley Tate,3778.00,6416.00,6430.00,4732.00,11162.00
writeIns,67.00,187.00,508.00,10654.00,11162.00
