,Rank 1,Rank 2,Rank 3,Did Not Rank
DEAN CLARK,602.00,1259.00,2064.00,22993.00
DEBRA WALKER,5669.00,8544.00,10217.00,14840.00
ELAINE ZAMORA,637.00,1544.00,2577.00,22480.00
FORTUNATE ''NATE'' PAYNE,150.00,440.00,739.00,24318.00
GEORGE DAVIS,158.00,396.00,725.00,24332.00
GEORGE VAZHAPPALLY,242.00,502.00,787.00,24270.00
GLENDON ''ANNA CONDA'' HYDE,692.00,1769.00,3642.00,21415.00
H. BROWN,182.00,550.00,978.00,24079.00
JAMES KEYS,960.00,1908.00,2890.00,22167.00
JANE KIM,6621.00,10356.00,11978.00,13079.00
JIM MEKO,407.00,1111.00,1902.00,23155.00
MATT ASHE,185.00,386.00,652.00,24405.00
MATT DRAKE,947.00,1763.00,2417.00,22640.00
THERESA SPARKS,3605.00,5899.00,7556.00,17501.00
writeIns,29.00,65.00,82.00,24975.00
