,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Did Not Rank,Final Rank + Did Not Rank
"Fantini, Alfred B.",3156.00,4466.00,5509.00,6356.00,7009.00,7547.00,7826.00,7992.00,8115.00,8231.00,8335.00,12069.00,20404.00
"Forster, Bill",444.00,1011.00,1581.00,2064.00,2430.00,2778.00,3078.00,3340.00,3550.00,3726.00,3835.00,16569.00,20404.00
"Gerber, Joyce C.",634.00,1406.00,2155.00,2799.00,3351.00,3756.00,4019.00,4282.00,4490.00,4662.00,4750.00,15654.00,20404.00
"Harding, Jr., Richard",2266.00,3969.00,5381.00,6417.00,7223.00,7848.00,8075.00,8219.00,8318.00,8411.00,8473.00,11931.00,20404.00
"Holland, John J.",604.00,1253.00,1880.00,2380.00,2847.00,3136.00,3374.00,3563.00,3799.00,3968.00,4117.00,16287.00,20404.00
"McGovern, Marc C.",2266.00,4545.00,6456.00,7782.00,8651.00,9159.00,9362.00,9495.00,9599.00,9664.00,9720.00,10684.00,20404.00
"Nolan, Patricia M.",2839.00,5096.00,6944.00,8248.00,8987.00,9413.00,9598.00,9713.00,9808.00,9885.00,9938.00,10466.00,20404.00
"Osborne, Mervan F.",2637.00,4271.00,5468.00,6266.00,6821.00,7217.00,7439.00,7627.00,7749.00,7917.00,8009.00,12395.00,20404.00
"Stead, Sr., Charles Lewis",352.00,958.00,1552.00,1952.00,2316.00,2557.00,2765.00,2954.00,3140.00,3330.00,3543.00,16861.00,20404.00
"Tauber, Nancy",1979.00,4488.00,6600.00,7898.00,8765.00,9287.00,9505.00,9619.00,9699.00,9763.00,9817.00,10587.00,20404.00
"Turkel, Alice L.",2555.00,4885.00,6836.00,8026.00,8802.00,9307.00,9513.00,9634.00,9732.00,9794.00,9845.00,10559.00,20404.00
writeIns,58.00,74.00,92.00,105.00,117.00,125.00,132.00,134.00,138.00,139.00,141.00,20263.00,20404.00
