,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
ALEX MILLER-COLE,2003.00,4135.00,6390.00,20371.00,26761.00
DERRICK MUHAMMAD,3152.00,5534.00,7809.00,18952.00,26761.00
"LARRY LIONEL YOUNG, JR.",1959.00,3600.00,5610.00,21151.00,26761.00
LYNETTE GIBSON-MCELHANEY,5207.00,9238.00,12634.00,14127.00,26761.00
NYEISHA DEWITT,3906.00,8135.00,10752.00,16009.00,26761.00
SEAN SULLIVAN,5736.00,8609.00,10839.00,15922.00,26761.00
writeIns,132.00,214.00,277.00,26484.00,26761.00
