,Rank 1,Rank 2,Rank 3,Did Not Rank
CAT BROOKS,40760.00,69877.00,86538.00,78237.00
CEDRIC A. TROUPE,1128.00,3746.00,7518.00,157257.00
JESSE A.J. SMITH,743.00,2604.00,5753.00,159022.00
KEN HOUSTON,2640.00,5625.00,9219.00,155556.00
LIBBY SCHAAF,84502.00,98963.00,111729.00,53046.00
MARCHON TATMON,2114.00,6334.00,16358.00,148417.00
NANCY SIDEBOTHAM,1766.00,5401.00,10290.00,154485.00
PAMELA PRICE,20794.00,69140.00,89930.00,74845.00
PETER YUAN LIU,1166.00,3017.00,5021.00,159754.00
SAIED KARAMOOZ,3005.00,8813.00,20852.00,143923.00
