,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
LAURIE CAPITELLI,49.42,64.62,64.77,35.23,100.00
SOPHIE HAHN,41.33,59.71,59.83,40.17,100.00
writeIns,0.32,1.29,2.75,97.25,100.00
