,Rank 1,Rank 2,Rank 3,Did Not Rank
DEAN CLARK,2.40,5.02,8.24,91.76
DEBRA WALKER,22.62,34.10,40.78,59.22
ELAINE ZAMORA,2.54,6.16,10.28,89.72
FORTUNATE ''NATE'' PAYNE,0.60,1.76,2.95,97.05
GEORGE DAVIS,0.63,1.58,2.89,97.11
GEORGE VAZHAPPALLY,0.97,2.00,3.14,96.86
GLENDON ''ANNA CONDA'' HYDE,2.76,7.06,14.53,85.47
H. BROWN,0.73,2.19,3.90,96.10
JAMES KEYS,3.83,7.61,11.53,88.47
JANE KIM,26.42,41.33,47.80,52.20
JIM MEKO,1.62,4.43,7.59,92.41
MATT ASHE,0.74,1.54,2.60,97.40
MATT DRAKE,3.78,7.04,9.65,90.35
THERESA SPARKS,14.39,23.54,30.16,69.84
writeIns,0.12,0.26,0.33,99.67
