,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Did Not Rank,Final Rank + Did Not Rank
"Fulford, Jonathan S.",2489.00,6045.00,11289.00,18911.00,18911.00,31934.00,50845.00
"Golden, Jared F.",20987.00,31014.00,35422.00,37074.00,37074.00,13771.00,50845.00
"Olson, Craig R.",3993.00,12531.00,23110.00,26131.00,26131.00,24714.00,50845.00
"St. Clair, Lucas R.",17742.00,28778.00,32615.00,35854.00,35854.00,14991.00,50845.00
