,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
BRENDA ROBERTS,46532.00,78743.00,78743.00,86032.00,164775.00
COURTNEY RUBY,87759.00,115182.00,115182.00,49593.00,164775.00
