,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Did Not Rank,Final Rank + Did Not Rank
"Fantini, Alfred B.",15.47,21.89,27.00,31.15,34.35,36.99,38.36,39.17,39.77,40.34,40.85,59.15,100.00
"Forster, Bill",2.18,4.95,7.75,10.12,11.91,13.61,15.09,16.37,17.40,18.26,18.80,81.20,100.00
"Gerber, Joyce C.",3.11,6.89,10.56,13.72,16.42,18.41,19.70,20.99,22.01,22.85,23.28,76.72,100.00
"Harding, Jr., Richard",11.11,19.45,26.37,31.45,35.40,38.46,39.58,40.28,40.77,41.22,41.53,58.47,100.00
"Holland, John J.",2.96,6.14,9.21,11.66,13.95,15.37,16.54,17.46,18.62,19.45,20.18,79.82,100.00
"McGovern, Marc C.",11.11,22.28,31.64,38.14,42.40,44.89,45.88,46.53,47.04,47.36,47.64,52.36,100.00
"Nolan, Patricia M.",13.91,24.98,34.03,40.42,44.05,46.13,47.04,47.60,48.07,48.45,48.71,51.29,100.00
"Osborne, Mervan F.",12.92,20.93,26.80,30.71,33.43,35.37,36.46,37.38,37.98,38.80,39.25,60.75,100.00
"Stead, Sr., Charles Lewis",1.73,4.70,7.61,9.57,11.35,12.53,13.55,14.48,15.39,16.32,17.36,82.64,100.00
"Tauber, Nancy",9.70,22.00,32.35,38.71,42.96,45.52,46.58,47.14,47.53,47.85,48.11,51.89,100.00
"Turkel, Alice L.",12.52,23.94,33.50,39.34,43.14,45.61,46.62,47.22,47.70,48.00,48.25,51.75,100.00
writeIns,0.28,0.36,0.45,0.51,0.57,0.61,0.65,0.66,0.68,0.68,0.69,99.31,100.00
