,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
ALFRED TWU,9.76,27.22,42.77,57.23,100.00
LORI DROSTE,51.65,69.01,74.83,25.17,100.00
MARY KAY LACEY,27.95,58.03,66.20,33.80,100.00
RUSS TILLEMAN,2.57,10.23,29.51,70.49,100.00
