,Rank 1,Rank 2,Rank 3,Rank 4,Did Not Rank
Harvey Curley,1610.00,2508.00,3141.00,3846.00,1299.00
Larry Edwards,464.00,1145.00,2191.00,3054.00,2091.00
Mary Hall-Rayford,1058.00,2028.00,2726.00,3385.00,1760.00
Sarah A. Lucido,1853.00,3448.00,3893.00,4160.00,985.00
writeIns,19.00,41.00,84.00,107.00,5038.00
