,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Did Not Rank
"Craig, Christopher",573.00,1283.00,2290.00,2975.00,3563.00,4082.00,4398.00,4734.00,16174.00
"Fantini, Alfred B.",2905.00,5012.00,6096.00,6777.00,7349.00,7744.00,8059.00,8235.00,12673.00
"Grassi, Joseph G.",2295.00,4592.00,5744.00,6545.00,7138.00,7525.00,7807.00,7973.00,12935.00
"Harding, Richard, Jr.",2362.00,4193.00,6418.00,7709.00,8572.00,8918.00,9109.00,9264.00,11644.00
"Lummis, Ben",2604.00,4836.00,6374.00,7329.00,7884.00,8267.00,8556.00,8786.00,12122.00
"McGovern, Marc C.",2716.00,4642.00,6244.00,7225.00,7816.00,8163.00,8490.00,8702.00,12206.00
"Price, Alan C.",1301.00,3342.00,5186.00,6480.00,7354.00,7810.00,8063.00,8217.00,12691.00
"Walser, Nancy",3842.00,5991.00,7704.00,8739.00,9503.00,9823.00,10000.00,10136.00,10772.00
writeIns,100.00,125.00,156.00,184.00,202.00,215.00,227.00,233.00,20675.00
