,Rank 1,Rank 2,Rank 3,Did Not Rank
Al Rose,12317.00,21971.00,26309.00,17352.00
Carolyn Merrival,7651.00,18456.00,23927.00,19734.00
Joyce McDonald,19967.00,23195.00,30231.00,13430.00
writeIns,65.00,288.00,553.00,43108.00
