,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
CAROL LEE TOLBERT,14.41,33.07,47.82,52.18,100.00
IGNACIO DE LA FUENTE,27.21,41.65,49.39,50.61,100.00
MICK STORM,2.91,9.27,17.45,82.55,100.00
REBECCA KAPLAN,41.47,56.43,62.59,37.41,100.00
THERESA ANDERSON,5.61,15.28,28.68,71.32,100.00
writeIns,0.52,1.08,1.59,98.41,100.00
