,Rank 1,Rank 2,Rank 3,Did Not Rank
DESLEY BROOKS,58.99,68.51,78.97,21.03
JOSE DORADO,19.71,40.87,63.05,36.95
NANCY SIDEBOTHAM,12.66,45.33,62.22,37.78
writeIns,0.61,1.60,3.25,96.75
