,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
CLARISSA DOUTHERD,35.77,58.08,58.08,41.92,100.00
GARY D. YEE,51.46,65.15,65.15,34.85,100.00
