,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Did Not Rank
Bernie Sanders,26555.00,58495.00,82893.00,89670.00,91398.00,56048.00
Elizabeth Warren,11518.00,62262.00,88158.00,91581.00,92246.00,55200.00
Joseph R. Biden,102829.00,117467.00,130506.00,134332.00,136645.00,10801.00
Tulsi Gabbard,1604.00,7309.00,20569.00,44613.00,50478.00,96968.00
Uncommitted,4367.00,8912.00,14835.00,25169.00,40205.00,107241.00
