,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
CLAUDINE CHENG,2515.00,6074.00,8511.00,21575.00,30086.00
DAVID CHIU,10270.00,13770.00,15780.00,14306.00,30086.00
DENISE MCCARTHY,3172.00,8453.00,11213.00,18873.00,30086.00
"JOSEPH ALIOTO, JR.",6285.00,9700.00,11867.00,18219.00,30086.00
LYNN JEFFERSON,1235.00,3264.00,5609.00,24477.00,30086.00
MARK QUESSEY,204.00,569.00,1146.00,28940.00,30086.00
MIKE DENUNZIO,1335.00,2510.00,3701.00,26385.00,30086.00
TONY GANTNER,1195.00,2739.00,5436.00,24650.00,30086.00
WILMA PANG,952.00,2524.00,5271.00,24815.00,30086.00
writeIns,35.00,62.00,85.00,30001.00,30086.00
