,Rank 1,Rank 2,Rank 3,Did Not Rank
Annie Young,15.10,26.74,34.08,65.92
Bob Fine,17.60,23.59,27.65,72.35
David Wahstedt,6.11,8.41,10.57,89.43
John Butler,2.42,4.69,6.68,93.32
John Erwin,13.87,22.56,27.96,72.04
Mary Merrill Anderson,11.73,21.11,28.87,71.13
Nancy Bernard,4.40,8.70,13.06,86.94
Tom Nordyke,8.08,16.37,25.87,74.13
writeIns,0.42,0.59,0.73,99.27
