"p12","V","201410","248","185","13","3","1","4","0","0","6","0","36","101","147","4","0","0","0","17","1","3","0","0","0","0","0","0","0","0","0","9","2","2","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","4","4","11","14","36","0","2","7","11","16","23","57","0","0","0","0","0","3","5","0","0","0","0","0","2","3","0","0","4","1","3","4","5","0","0","1","3","4","6","5","0","0","2","2","1","1","1","0","0","1","1","2","2","1","17","30","15","11","16","9","6","4","77","0","0","0","0","1","0","4","2","6","5","4","3","5","5","1","1","2","10","4","1","2","2","2","0","1","0","2"
"p12","V","201500","246","192","18","2","2","6","1","0","5","0","20","114","132","1","0","0","0","29","0","2","2","0","0","0","0","3","0","0","0","5","0","0","0","2","0","1","0","1","0","0","0","1","0","0","2","0","3","8","4","16","16","36","0","5","5","7","25","27","40","0","0","0","0","1","1","8","0","0","0","0","1","2","5","0","0","2","2","1","2","3","0","1","1","2","1","0","5","0","0","0","4","0","2","5","0","0","0","0","1","1","3","26","25","16","18","13","4","7","16","67","0","2","1","1","0","0","0","2","12","3","2","2","4","5","2","0","1","1","8","2","2","2","0","1","0","0","1"
"p12","V","201700","150","100","9","1","0","6","0","0","4","0","30","77","73","2","0","2","2","7","0","5","1","1","0","0","0","1","0","0","0","3","1","3","1","0","0","0","0","1","0","0","0","0","0","1","0","0","4","4","2","7","7","22","0","3","9","3","14","4","21","0","1","1","1","1","2","2","0","0","0","0","0","0","1","0","1","3","2","4","3","2","0","2","1","2","3","4","3","0","3","3","1","1","0","0","0","0","2","0","0","0","1","18","20","11","7","7","1","5","4","27","2","2","1","1","0","0","0","0","3","4","8","4","5","3","0","1","1","4","8","2","0","0","0","0","0","0","1"
"p12","V","201900","280","212","8","1","3","4","1","0","7","0","44","137","143","2","0","5","0","23","0","3","0","1","0","0","0","6","1","0","0","5","1","4","2","1","0","2","0","0","0","0","0","0","0","0","0","0","0","12","14","11","17","46","0","7","13","11","14","19","48","0","0","0","0","0","1","4","0","0","1","0","1","0","1","0","2","11","2","2","2","3","0","0","8","4","1","4","5","0","2","2","1","3","1","1","0","0","2","1","0","0","3","25","29","23","22","15","8","5","7","78","1","1","0","1","0","0","1","1","3","6","10","10","4","7","2","1","0","4","5","5","1","0","0","0","0","1","4"
"p12","V","202010","116","74","10","0","0","3","1","0","8","0","20","49","67","2","2","0","0","6","0","1","2","0","0","0","0","0","0","0","0","5","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","1","7","4","3","5","8","0","2","9","4","1","9","21","0","0","2","1","3","0","1","0","0","1","0","0","1","1","0","0","2","2","1","2","2","0","1","3","1","1","2","3","0","1","2","1","0","0","1","0","1","0","1","3","2","0","16","21","2","5","8","1","1","0","20","2","3","1","1","1","0","0","0","2","3","3","5","3","3","0","0","0","3","4","2","0","0","1","1","1","0","3"
"p12","V","202110","159","110","13","2","0","6","3","0","7","0","18","82","77","7","0","3","2","14","2","1","1","0","0","0","0","3","0","0","0","3","2","3","0","0","0","0","0","0","0","1","1","0","0","0","0","0","3","8","3","5","16","15","0","2","7","7","8","21","15","0","1","2","0","2","3","1","0","0","2","0","0","2","0","0","0","1","0","3","1","3","0","2","4","1","1","1","1","0","3","2","1","4","4","1","0","1","1","0","0","0","1","19","25","13","11","6","4","3","2","27","3","3","3","0","0","1","1","0","2","5","1","4","2","0","1","0","0","5","7","2","1","1","3","2","0","1","1"
"p12","V","202310","139","109","12","0","0","5","0","0","5","0","8","80","59","1","0","0","0","13","1","0","0","0","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","4","10","5","3","10","27","0","2","3","4","5","18","18","0","1","1","0","1","1","3","0","0","0","0","0","0","5","0","0","2","0","1","3","1","0","0","0","0","1","0","0","0","0","5","1","0","1","0","0","0","2","0","1","0","0","20","19","10","7","13","2","5","3","30","3","0","0","0","3","0","1","0","5","0","1","3","0","1","0","0","0","3","4","1","0","0","3","0","1","0","1"
"p12","V","202400","22","13","3","0","0","2","0","0","0","0","4","13","9","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","3","2","1","0","0","1","0","6","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","10","2","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"p12","V","202410","59","35","3","0","0","3","2","0","4","0","12","34","25","2","0","1","0","4","0","1","2","0","0","1","0","1","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","2","4","3","0","2","2","2","0","7","7","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","3","3","1","0","2","0","0","1","0","1","0","1","0","0","3","1","0","1","1","1","0","1","0","0","1","0","0","6","9","4","1","2","1","2","0","10","2","0","1","0","0","0","0","0","0","2","6","2","1","0","0","0","0","1","5","1","0","0","0","0","0","0","3"
"p12","V","202500","37","25","7","1","0","1","0","0","0","0","3","26","11","2","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","4","1","0","4","2","4","0","4","0","1","1","2","2","0","2","1","0","1","3","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","7","3","2","2","1","2","2","0","6","3","0","0","1","0","0","1","0","2","1","0","0","0","0","0","0","1","1","2","0","0","0","0","0","0","0","0"
