"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"p16","V","353600","397","298","4","3","2","1","1","0","5","0","83","166","231","27","0","8","1","7","0","1","0","1","0","0","0","0","0","1","0","13","1","10","0","3","0","0","0","6","0","4","0","3","0","3","0","0","5","17","30","21","23","20","0","16","32","38","34","27","35","0","0","0","0","0","0","1","0","0","2","0","0","0","1","0","3","11","6","5","3","11","0","1","12","7","8","7","9","0","0","1","2","2","3","2","0","0","1","1","0","0","0","86","46","30","29","17","15","14","10","51","0","0","3","0","0","0","0","0","1","25","14","8","7","4","9","4","1","11","2","2","2","1","1","2","1","0","1"
"p16","V","353800","291","212","6","2","2","1","2","0","7","0","59","138","153","37","0","5","4","5","0","3","0","3","0","0","0","0","0","0","0","12","1","12","0","0","0","0","0","8","1","6","0","0","0","0","0","0","4","21","22","19","14","13","0","8","42","21","11","18","19","0","0","1","0","0","0","1","0","0","0","0","0","2","2","0","3","10","10","5","1","3","0","2","6","6","6","6","1","0","1","1","4","1","1","3","0","1","2","0","0","0","0","68","37","27","25","8","17","6","2","22","3","0","0","1","0","0","0","0","2","28","11","2","5","4","3","1","0","5","6","1","4","0","1","0","0","0","2"
"p16","V","353900","435","298","8","7","3","3","0","0","5","0","111","210","225","42","0","9","3","4","0","1","0","7","0","3","0","0","0","0","0","26","3","20","1","3","0","1","0","16","3","23","3","3","0","2","0","0","12","42","20","21","11","27","0","15","48","32","21","24","25","0","0","1","1","2","0","1","0","0","0","0","0","0","3","0","2","23","12","7","6","10","0","7","20","5","4","9","6","0","0","2","6","0","1","3","0","1","2","2","1","0","0","112","42","41","27","16","8","14","7","31","1","0","1","0","1","2","2","0","1","38","23","16","6","8","6","5","3","6","5","6","2","0","1","1","0","1","2"
"p16","V","354000","478","304","21","10","2","3","3","0","10","0","125","227","251","72","1","18","6","12","0","4","2","0","0","0","0","1","0","1","0","19","3","23","2","1","0","1","0","13","11","18","3","2","0","1","1","0","11","33","19","21","16","30","0","21","48","23","29","20","33","0","1","1","0","3","1","7","0","0","2","0","3","2","1","0","7","20","10","8","14","11","0","5","15","10","5","12","8","0","1","2","6","1","2","2","0","1","1","5","2","1","4","99","51","25","32","21","21","9","9","37","2","1","2","3","3","3","3","2","2","31","30","16","10","7","5","11","2","13","8","2","7","0","1","1","2","2","5"
"p16","V","354100","665","478","16","8","0","3","1","0","9","0","150","299","366","60","3","22","2","10","0","2","0","1","0","1","0","4","0","0","0","13","0","19","0","2","0","2","0","11","1","14","2","9","0","0","0","0","11","45","38","32","31","46","0","14","53","48","39","40","81","0","0","1","1","2","1","2","0","0","2","1","1","1","4","0","5","12","21","10","15","17","0","6","17","20","7","9","11","0","0","2","2","1","2","2","0","1","3","4","2","2","0","130","71","52","41","24","35","20","11","94","3","4","1","0","1","1","3","1","2","39","22","22","10","18","8","9","4","18","3","6","2","0","0","2","3","1","4"
"p16","V","354110","328","256","8","1","0","2","1","0","5","0","55","139","189","36","0","9","1","12","0","3","0","1","0","0","0","1","0","0","0","8","2","4","0","2","0","1","0","1","0","2","0","4","1","1","0","0","4","10","20","17","18","36","0","8","19","20","27","28","49","0","0","1","0","0","3","0","0","0","0","0","0","0","4","0","1","5","7","4","1","8","0","2","6","10","3","3","5","0","0","1","0","0","3","0","0","0","0","1","1","1","2","48","27","24","28","25","18","17","10","59","2","1","0","0","0","0","0","0","5","16","6","4","3","8","4","3","0","11","2","1","0","4","1","0","1","0","0"
"p16","V","354300","450","304","21","2","3","2","0","0","6","0","112","241","209","122","3","26","3","3","0","3","1","1","0","1","0","0","0","0","0","7","4","14","2","1","0","0","0","28","7","27","0","1","1","0","1","0","26","34","17","18","25","32","0","21","36","17","21","22","35","0","0","3","2","4","0","6","0","1","1","2","1","0","1","0","9","5","7","9","16","19","0","8","14","6","7","7","5","0","1","3","1","3","1","0","0","0","2","0","1","0","1","89","43","29","22","22","18","21","9","51","6","1","3","2","3","3","1","1","1","40","21","12","6","4","11","6","3","9","4","1","3","0","2","1","1","0","1"
"p16","V","354400","334","232","11","4","2","1","0","0","4","0","80","159","175","42","3","12","0","9","0","1","0","3","0","0","0","1","0","0","0","13","2","11","0","2","0","0","0","23","2","16","3","8","0","2","0","0","7","23","19","12","25","25","0","12","31","20","15","18","25","0","0","2","1","0","2","0","0","0","1","1","1","0","3","0","3","7","2","8","7","11","0","4","9","7","9","7","6","0","0","4","0","0","0","1","0","1","1","1","1","1","1","53","22","21","30","20","14","18","8","46","2","0","2","2","0","2","0","1","2","20","15","7","7","10","3","9","0","9","2","2","2","0","0","0","2","2","1"
"p16","V","354500","492","333","15","6","3","7","1","0","4","0","123","259","233","117","2","38","3","3","0","1","0","2","1","2","0","3","0","0","0","13","5","24","2","1","0","0","0","13","3","12","0","4","1","1","1","0","11","42","24","25","25","32","0","15","40","31","33","25","30","0","0","1","0","0","4","4","0","0","1","1","1","1","2","0","3","23","15","12","14","11","0","6","15","6","8","7","3","0","1","0","5","1","5","1","0","0","4","3","1","0","0","97","57","27","38","31","9","18","10","46","3","1","5","2","0","2","1","1","0","50","19","14","10","5","5","7","3","10","10","5","2","1","1","0","0","0","2"
"p16","V","354700","376","260","11","5","2","1","1","0","5","0","91","160","216","132","2","33","2","4","0","1","0","1","0","1","0","0","0","1","0","8","0","8","1","3","0","0","0","3","1","4","0","2","0","5","0","0","19","15","18","12","19","25","0","15","31","28","20","24","34","0","1","0","0","1","2","1","0","0","1","0","0","2","3","0","4","11","6","5","10","4","0","6","16","7","10","4","8","0","0","1","1","1","3","1","0","1","0","2","1","1","2","80","42","22","27","30","12","11","8","28","2","0","0","1","4","1","0","2","1","38","23","10","5","6","2","3","1","3","6","3","0","1","0","0","1","0","3"
