"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g16","V","7906","649","453","18","7","2","1","6","0","4","0","158","370","279","102","4","27","4","20","1","11","1","3","1","1","0","0","0","0","0","29","0","12","0","5","0","8","0","2","0","2","0","6","0","3","0","0","16","98","59","39","22","19","0","21","80","48","20","10","21","0","3","3","2","2","2","3","0","0","2","0","0","0","1","0","9","43","24","8","5","1","0","4","29","19","10","1","5","0","0","3","6","1","1","1","0","0","5","2","1","0","0","203","32","54","37","36","13","26","12","40","13","0","1","0","1","0","0","0","3","81","17","18","7","6","9","7","4","9","9","0","4","1","3","0","2","0","1"
"g16","V","7907","814","521","12","13","2","1","3","0","17","0","245","429","385","101","4","35","9","31","0","11","1","5","0","3","0","3","0","0","0","37","2","24","2","10","0","4","0","1","1","1","0","13","0","2","0","0","11","105","50","51","21","25","0","25","91","57","42","21","22","0","0","0","2","2","2","1","0","0","0","0","3","0","2","0","9","49","34","23","11","10","0","9","39","31","14","6","10","0","0","8","9","4","1","1","0","0","3","5","4","0","1","229","44","60","25","35","16","43","13","56","2","0","1","1","1","0","1","2","4","96","25","31","13","17","11","24","6","22","12","6","4","2","3","1","6","0","2"
"g16","V","7908","786","539","28","8","3","3","3","0","13","0","189","421","365","150","10","42","11","40","0","6","1","5","0","1","0","3","0","0","0","25","1","20","0","8","0","5","0","3","0","1","0","7","3","2","0","0","15","85","48","53","35","40","0","34","72","37","40","21","59","0","0","4","2","1","2","5","0","0","0","1","2","3","8","0","10","31","19","18","10","25","0","4","22","21","8","5","16","0","1","4","2","7","1","3","0","2","3","2","2","2","1","228","34","50","29","43","25","28","19","83","11","1","1","0","2","3","1","2","7","66","13","26","10","24","8","17","4","21","13","4","3","0","2","0","0","3","5"
"g16","V","7909","635","420","12","5","2","1","5","0","10","1","179","359","276","80","6","29","2","25","0","10","0","1","0","1","0","3","0","3","0","18","0","18","1","5","0","4","0","0","0","2","0","5","0","2","0","0","12","71","52","39","25","20","0","9","75","49","29","17","22","0","0","2","1","3","0","1","0","0","1","1","0","2","1","0","1","41","36","27","5","5","0","4","24","17","12","4","3","0","2","5","3","4","1","3","0","0","1","2","1","2","0","192","33","45","19","35","17","21","6","52","3","2","2","0","0","0","1","0","4","62","18","16","14","18","11","20","3","17","12","1","2","0","1","1","3","0","4"
"g16","V","7911","728","453","19","10","3","1","2","1","12","0","227","365","363","130","7","57","7","30","0","10","0","5","0","1","0","0","0","2","0","19","2","14","1","2","0","1","1","2","0","0","0","5","1","8","0","0","14","57","57","35","25","17","0","12","90","47","35","24","40","0","0","3","1","1","4","1","0","0","3","1","0","2","3","0","11","50","34","23","8","9","0","9","32","27","11","8","5","0","2","4","5","4","0","0","0","0","4","5","3","1","1","202","26","48","28","22","17","16","14","80","10","1","1","2","0","0","0","1","4","95","21","28","18","20","10","11","2","22","10","0","3","3","3","1","4","0","5"
"g16","V","7912","854","578","21","13","1","0","4","1","15","0","221","499","355","131","6","44","6","46","2","17","3","10","0","1","0","3","0","1","1","31","1","16","0","9","0","4","0","4","0","0","0","11","0","5","0","0","24","120","70","43","39","20","1","17","103","53","31","24","33","0","1","4","3","2","1","2","0","1","1","0","1","2","3","0","10","60","34","18","15","8","0","6","31","21","7","3","8","0","2","6","8","6","2","1","0","0","4","0","3","2","0","307","35","47","28","41","9","36","7","68","8","2","5","2","1","0","0","0","3","115","18","24","8","11","9","12","4","20","15","3","2","1","3","0","5","0","5"
"g16","V","7913","788","547","23","5","0","0","5","1","12","0","195","441","347","148","11","47","4","29","0","13","2","3","0","1","0","2","0","1","1","16","0","14","1","8","0","6","0","2","1","1","0","4","0","2","0","0","19","123","39","37","31","32","0","19","109","40","38","25","35","0","0","6","2","4","3","5","0","0","0","1","1","0","1","0","7","57","30","13","8","8","0","2","32","14","7","9","8","0","1","7","7","1","1","0","0","0","1","1","1","1","2","263","39","53","18","32","20","19","17","86","4","1","3","2","2","0","2","2","7","97","21","17","5","17","4","9","3","22","7","3","1","2","1","2","2","1","4"
"g16","V","7914","738","510","22","7","1","0","7","0","8","0","183","374","364","158","9","40","9","28","1","6","2","2","0","1","0","5","0","0","0","15","2","6","0","8","0","6","1","2","0","0","0","5","1","3","0","0","25","78","59","35","21","22","0","21","71","59","50","33","36","0","2","4","4","1","1","1","0","1","1","1","2","1","3","0","8","29","38","18","9","5","0","2","28","17","15","6","8","0","2","2","4","4","1","1","0","1","2","2","2","1","1","207","33","46","38","40","18","28","8","92","11","1","1","1","3","0","2","0","3","68","19","23","4","15","8","12","8","26","10","4","0","2","2","1","2","0","2"
"g16","V","7915","708","455","20","9","2","1","3","0","11","0","207","345","363","122","12","62","2","25","2","12","0","2","0","1","0","2","0","1","0","20","1","13","4","4","1","2","0","5","0","1","0","12","0","6","0","0","15","62","38","32","28","30","0","29","84","54","31","16","36","0","3","2","1","2","1","3","0","0","1","1","0","2","4","0","12","45","28","14","5","7","0","7","27","24","12","15","11","0","1","5","7","1","1","2","0","3","1","2","3","0","0","211","34","39","17","36","12","30","5","71","8","3","0","0","0","2","2","0","5","90","21","20","7","13","5","21","4","26","11","1","3","0","4","3","1","1","2"
"g16","V","7916","763","518","28","5","1","0","1","0","14","0","196","395","368","106","6","38","4","32","0","6","0","6","1","2","0","2","1","0","0","25","3","11","2","6","1","0","0","3","0","1","0","7","0","5","0","0","17","90","62","38","25","29","0","14","99","47","38","31","28","0","3","4","1","3","3","1","0","1","4","1","1","1","5","0","5","36","25","21","11","5","0","6","39","20","12","4","12","0","1","1","6","4","1","3","0","0","1","0","1","2","1","247","42","37","32","31","15","28","5","81","13","0","2","3","0","0","3","1","6","73","18","27","13","19","7","16","2","21","6","1","2","1","1","2","4","1","3"
