"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g14","V","200100","483","368","27","2","1","14","1","0","7","0","63","234","249","6","0","3","2","60","1","7","0","0","0","0","0","8","0","0","1","11","0","2","0","4","0","4","0","1","0","2","0","3","0","0","0","0","5","10","12","22","38","87","0","5","15","14","33","42","85","0","0","0","1","0","4","6","0","0","2","0","0","6","8","0","0","4","7","6","7","10","0","0","4","7","6","2","10","0","0","2","4","4","2","3","0","0","1","4","1","2","2","21","33","36","54","23","28","13","14","146","2","2","2","4","2","0","0","1","14","9","8","5","11","8","2","4","1","15","4","11","3","2","0","1","0","1","3"
"g14","V","200200","477","360","29","4","4","6","3","0","8","0","63","231","246","8","1","2","0","37","3","6","4","4","1","0","0","3","0","1","0","8","2","4","0","3","0","0","0","1","1","0","0","0","0","0","0","0","8","8","8","25","38","73","0","1","7","14","24","53","101","0","0","0","1","1","5","10","0","0","0","2","2","0","8","0","0","3","6","9","11","10","0","2","0","4","4","5","9","0","2","0","3","2","3","5","0","0","0","1","5","1","3","24","32","28","37","16","21","17","10","175","2","0","1","0","2","0","3","2","19","8","3","7","7","4","9","6","4","15","2","8","4","2","0","0","1","0","8"
"g14","V","200300","350","265","15","2","2","7","0","0","5","0","54","170","180","12","0","1","0","34","0","4","1","1","0","0","0","1","0","2","0","9","1","2","0","4","0","1","0","0","0","0","0","1","0","0","1","0","3","4","9","19","25","56","0","3","0","21","24","24","77","0","0","0","0","1","0","6","0","0","0","0","2","2","4","0","2","1","13","7","5","10","0","0","2","2","3","4","5","0","0","4","2","1","1","1","0","0","1","1","1","2","2","23","37","22","22","22","19","4","13","103","0","2","0","4","0","1","0","0","8","4","5","3","12","5","7","5","4","9","3","7","1","1","0","0","2","1","1"
"g14","V","200600","446","331","24","5","1","11","3","0","9","0","62","219","227","4","0","3","1","47","4","6","3","4","0","1","0","5","0","1","1","9","0","2","1","0","0","2","0","1","0","0","0","0","0","0","0","0","6","18","14","25","22","66","0","6","9","21","24","37","83","0","0","0","2","1","1","10","0","0","0","0","1","1","8","0","2","0","5","7","8","10","0","2","3","2","10","8","5","0","3","4","1","2","6","6","0","0","1","1","1","4","0","36","32","34","45","24","30","14","15","101","1","4","0","3","0","2","1","1","12","11","6","5","11","3","9","3","0","14","4","8","5","2","0","2","1","1","6"
"g14","V","200700","389","289","16","5","1","13","0","0","9","0","56","189","200","10","0","0","1","30","2","8","3","1","0","1","0","1","0","0","0","4","0","3","0","4","0","1","0","2","0","0","0","3","0","0","0","0","9","1","11","21","35","54","0","2","8","13","24","38","73","0","0","0","0","1","3","5","0","0","1","0","0","1","5","0","4","3","3","3","5","17","0","1","1","2","3","7","7","0","1","3","2","2","5","1","0","1","1","2","1","5","4","27","31","32","30","24","6","9","10","120","3","1","0","2","0","0","1","0","9","11","2","7","6","9","4","4","1","12","6","15","1","0","0","3","1","2","0"
"g14","V","200800","427","314","19","2","0","14","3","0","16","0","59","211","216","8","1","3","2","60","0","7","3","0","0","0","0","2","0","2","0","7","0","2","1","1","0","1","0","1","0","0","0","1","1","1","0","0","6","11","14","27","37","53","0","4","9","17","29","44","63","0","0","0","0","1","0","9","0","0","0","1","0","1","7","0","0","5","4","3","11","12","0","1","1","4","3","9","6","0","2","2","4","4","1","5","0","0","2","4","2","5","4","49","38","24","33","23","20","12","12","103","0","1","0","4","1","3","0","0","10","13","5","7","11","2","2","1","3","15","9","8","3","1","1","1","2","1","9"
"g14","V","201000","396","301","21","2","0","11","2","0","6","0","53","191","205","13","1","1","2","44","2","11","2","1","1","1","0","7","0","0","0","11","1","3","0","5","0","0","0","0","0","0","0","1","1","0","0","0","8","5","10","25","28","60","0","3","9","15","32","30","76","0","0","0","0","2","4","7","0","0","0","0","1","2","5","0","2","4","1","9","6","6","0","3","2","1","4","8","7","0","0","0","1","6","3","4","0","0","1","1","3","0","2","22","46","30","29","20","18","11","16","109","0","3","3","1","1","1","1","2","9","11","2","5","9","5","5","1","3","12","2","7","7","0","1","1","2","1","0"
"g14","V","201100","441","337","18","5","0","10","1","0","6","0","64","220","221","7","1","1","0","48","1","7","3","0","0","2","0","2","0","2","1","4","2","4","0","4","0","1","0","0","0","0","0","3","0","1","0","0","5","14","18","22","15","81","0","2","8","16","28","39","89","0","0","1","1","3","0","5","0","0","0","0","3","0","5","0","2","5","9","12","5","10","0","0","2","5","5","5","4","0","0","1","1","2","6","2","0","1","2","2","0","4","1","35","32","24","38","30","24","16","12","126","1","0","1","2","1","3","0","1","9","15","2","7","12","3","4","1","8","12","4","10","4","1","0","2","0","0","1"
"g14","V","201300","364","278","11","1","3","18","1","0","10","0","42","181","183","9","0","0","0","39","0","9","4","0","0","0","0","2","0","0","0","4","1","1","2","1","0","1","0","0","0","0","0","2","0","0","1","0","4","16","7","33","31","46","0","2","13","10","28","37","51","0","0","2","0","1","0","4","0","0","0","0","0","2","2","0","0","3","4","4","4","4","0","0","5","6","4","5","3","0","1","6","3","2","3","3","0","1","3","6","1","2","2","40","29","22","41","17","13","13","11","92","0","0","4","0","1","2","2","1","1","7","4","4","10","1","4","2","2","8","6","16","1","3","1","1","0","3","2"
"g14","V","201400","406","306","18","2","0","15","3","0","7","0","55","193","213","16","1","4","0","36","3","5","6","0","0","1","0","1","0","0","0","11","1","3","2","3","0","0","0","1","0","0","0","0","0","0","0","0","6","13","10","20","30","55","0","3","18","19","18","37","77","0","0","2","0","2","2","9","0","0","0","0","0","0","3","0","1","4","4","3","7","13","0","0","3","7","1","3","9","0","0","3","5","1","2","1","0","0","4","3","1","2","5","41","44","22","15","21","20","7","16","120","3","1","2","3","1","0","0","0","8","14","6","4","4","5","4","1","1","16","4","11","2","1","2","3","1","0","3"
"g14","V","201410","356","269","15","4","4","5","0","0","8","0","51","158","198","9","0","0","1","24","1","5","1","1","0","0","0","1","0","0","0","9","2","1","0","0","0","1","1","0","0","0","0","3","0","1","0","0","5","5","7","19","22","54","0","5","10","25","18","32","67","0","0","0","0","0","3","6","0","0","0","0","0","2","4","0","0","7","4","4","5","8","0","2","5","2","1","5","8","0","0","1","4","3","1","0","0","1","1","3","1","5","1","21","39","29","25","18","19","7","6","105","0","0","0","0","0","1","0","2","12","9","7","3","4","5","3","3","3","14","3","5","3","2","1","1","1","2","3"
"g14","V","201500","386","296","16","3","3","15","2","0","7","0","44","180","206","3","0","0","0","47","0","7","5","1","0","0","1","1","0","0","0","9","0","2","0","1","0","0","0","1","0","1","0","1","0","0","1","0","1","14","7","31","23","51","0","4","18","18","36","34","59","0","0","1","0","0","0","6","0","0","0","0","2","1","6","0","0","6","10","3","3","5","0","2","3","2","2","4","4","0","2","2","2","3","3","7","0","1","2","1","2","1","4","50","38","24","19","20","30","7","5","103","2","1","2","0","0","0","0","0","11","12","4","0","3","6","9","1","2","7","7","14","4","1","2","0","0","1","1"
"g14","V","201700","271","172","13","1","0","14","2","0","8","0","61","140","131","4","0","6","0","13","0","4","4","0","0","0","0","0","0","1","0","5","1","3","0","3","0","1","2","2","0","0","1","1","1","0","0","0","8","15","11","13","10","27","0","13","20","9","13","14","19","0","0","3","1","3","2","1","0","1","1","0","0","0","1","0","4","11","4","6","3","3","0","7","5","4","5","4","5","0","3","8","0","1","2","1","0","3","4","0","1","1","1","56","30","19","13","2","13","1","4","34","5","1","4","1","0","0","0","0","2","24","8","4","6","2","7","2","0","8","12","11","1","0","0","0","0","0","1"
