"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"p16","V","1101","247","169","11","8","1","1","0","0","1","0","56","133","114","37","2","11","6","0","0","0","0","1","0","2","0","0","0","0","0","29","1","17","0","0","0","0","0","1","0","0","0","9","0","4","0","0","6","16","11","15","14","21","0","6","21","5","11","18","25","0","0","1","2","0","3","1","0","1","0","0","0","0","3","0","2","4","10","4","5","10","0","0","5","3","2","6","5","0","0","1","1","2","0","4","0","0","0","1","1","0","1","41","11","9","18","13","8","10","8","51","3","1","0","2","1","1","1","0","2","12","7","1","2","4","8","8","0","14","4","1","2","0","0","0","1","0","3"
"p16","V","1102","557","379","32","6","1","4","2","0","3","0","130","293","264","112","11","34","5","16","0","1","0","4","0","1","1","2","1","0","0","21","4","31","1","4","0","0","0","3","0","0","2","9","2","6","0","0","13","27","32","35","37","41","0","15","28","36","29","39","47","0","2","0","2","2","4","8","0","0","0","1","1","4","8","0","5","17","8","11","11","25","0","8","10","11","7","5","12","0","1","2","2","3","3","2","0","1","1","0","1","0","0","81","25","33","30","12","26","31","16","125","5","4","3","0","0","2","0","1","17","29","21","17","0","5","5","17","5","31","3","2","3","1","0","2","1","1","3"
"p16","V","1103","499","334","37","6","0","1","4","0","7","0","110","252","247","79","6","23","4","22","0","1","2","0","0","3","1","2","0","0","0","29","4","31","1","1","0","0","0","9","0","1","0","8","0","3","0","0","13","25","24","24","30","44","0","9","25","24","26","32","58","0","0","2","2","3","4","6","0","0","0","0","4","4","12","0","5","10","13","11","6","19","0","3","9","7","12","3","12","0","0","3","5","1","1","1","0","0","0","3","1","1","2","81","21","21","26","11","19","27","6","122","10","2","2","3","1","2","1","1","15","25","11","12","4","7","12","14","2","23","5","4","3","1","0","0","0","2","3"
"p16","V","1104","467","290","29","8","1","1","1","0","6","0","131","236","231","103","8","36","6","15","0","0","1","1","0","2","0","0","0","0","0","25","5","31","1","2","0","1","0","1","1","2","3","16","1","7","0","0","7","26","25","29","18","28","0","15","28","23","26","27","38","0","0","0","1","4","1","14","0","0","1","3","2","1","2","0","8","9","11","11","17","16","0","6","14","8","5","12","14","0","1","1","0","6","2","1","0","1","1","2","2","0","0","85","26","27","16","19","16","17","10","74","6","1","1","3","1","1","4","3","9","42","14","11","6","16","8","5","4","25","3","3","0","1","4","0","3","0","3"
"p16","V","1106","398","254","27","6","1","0","3","0","4","0","103","206","192","31","2","5","3","13","3","3","0","3","0","2","1","9","0","1","0","36","4","44","2","0","0","1","0","8","0","3","0","2","2","2","0","0","18","25","18","17","12","30","0","18","21","13","20","22","40","0","0","1","3","0","4","8","0","0","0","1","1","4","5","0","4","9","7","12","13","16","0","4","7","7","7","7","10","0","2","3","0","3","1","0","0","1","0","2","0","1","1","75","20","14","22","15","13","8","13","74","1","6","3","2","0","1","1","1","12","18","15","11","11","8","6","13","1","20","5","1","0","1","2","0","1","1","3"
"p16","V","1107","359","250","17","1","0","0","0","0","2","0","89","188","171","22","0","12","0","11","2","4","0","1","0","1","0","0","0","1","0","26","1","30","0","1","0","0","0","1","0","4","0","5","1","2","0","0","19","20","11","17","13","32","0","19","19","12","20","16","52","0","0","2","0","4","2","2","0","0","1","1","1","0","4","0","9","8","6","13","9","19","0","2","3","3","4","8","5","0","0","1","0","1","0","0","0","0","0","0","0","1","0","69","21","14","14","9","8","17","11","87","4","5","0","1","1","0","1","0","5","23","6","11","9","6","4","9","3","18","0","1","0","0","1","0","0","1","0"
"p16","V","1108","501","344","14","9","0","1","1","0","3","0","129","261","240","39","1","16","5","10","0","2","0","1","0","0","0","2","0","2","0","37","0","42","0","2","0","0","0","1","0","4","0","5","0","2","0","0","23","21","25","32","21","46","0","17","13","21","28","37","60","0","0","0","1","1","1","6","0","1","0","0","1","0","3","0","4","12","16","14","19","11","0","5","11","7","10","7","13","0","0","5","0","3","0","0","0","0","0","0","4","2","0","73","35","18","22","15","13","19","22","127","2","2","0","2","0","2","0","1","5","24","21","8","9","12","11","11","9","24","3","3","0","1","2","2","0","0","3"
"p16","V","1109","389","259","26","6","1","0","0","0","3","0","94","201","188","27","2","9","2","7","0","0","0","0","0","1","0","2","0","1","0","38","3","41","1","2","0","2","0","3","1","1","0","3","0","0","0","0","12","17","19","30","19","34","0","13","24","12","18","25","36","0","0","2","2","2","5","6","0","0","0","1","0","4","4","0","1","11","9","5","8","16","0","4","6","9","8","4","13","0","0","1","0","1","0","1","0","2","1","0","2","0","2","60","32","11","9","15","15","21","9","87","4","2","1","2","1","0","3","1","12","19","10","7","14","7","4","6","6","21","2","2","2","0","1","1","1","0","1"
"p16","V","1111","434","269","30","4","0","3","2","0","7","0","119","235","199","51","12","6","2","11","0","1","1","5","0","5","0","1","0","0","0","55","5","62","1","0","0","0","0","2","1","6","2","10","4","4","0","0","17","22","13","12","28","31","0","22","25","10","11","29","49","0","1","2","6","0","3","8","0","0","0","2","0","2","6","0","3","19","13","10","16","21","0","6","8","2","6","9","6","0","0","4","3","1","1","1","0","1","1","1","2","1","0","78","20","21","19","12","11","18","11","79","6","1","1","2","1","4","1","1","13","25","13","17","8","11","6","7","2","30","4","3","2","1","1","1","3","0","1"
"p16","V","1112","328","191","12","3","0","0","0","0","0","0","122","167","161","39","4","13","1","3","0","1","0","1","0","0","0","0","0","0","0","44","2","63","1","1","0","0","0","4","1","3","0","11","1","5","0","0","5","19","13","13","19","19","0","15","15","17","11","24","21","0","0","1","1","0","2","2","0","0","1","1","0","1","3","0","4","13","9","10","13","22","0","6","9","6","11","9","10","0","0","0","0","0","1","1","0","1","0","0","0","0","0","57","13","15","18","13","9","18","5","43","2","1","2","1","0","0","2","3","1","23","14","9","7","6","12","11","6","34","1","0","0","1","0","1","0","0","0"
