,Amy Klobuchar,Andrew Yang,Bernie Sanders,Deval Patrick,Elizabeth Warren,Joseph R. Biden,Michael R.,Pete Buttigieg,Tom Steyer,Tulsi Gabbard,Uncommitted
first_choice,0.23,1.28,27.80,0.03,5.06,58.87,1.80,1.05,0.10,3.06,0.73
Amy Klobuchar,,1.61,0.32,0.00,5.15,3.11,1.91,9.80,0.00,1.57,0.00
Andrew Yang,2.94,,5.11,25.00,4.07,1.37,2.29,7.19,26.67,6.73,0.94
Bernie Sanders,11.76,26.34,,25.00,46.07,20.86,11.07,11.76,13.33,28.92,4.72
Deval Patrick,2.94,1.61,0.02,,0.00,0.02,0.00,0.00,0.00,0.22,0.00
Elizabeth Warren,17.65,20.43,25.38,0.00,,9.69,5.73,11.11,13.33,3.14,0.94
Joseph R. Biden,35.29,14.52,30.37,25.00,31.57,,50.76,42.48,13.33,16.14,10.38
Michael R.,2.94,2.15,0.99,0.00,1.36,6.86,,5.23,26.67,7.85,2.83
Pete Buttigieg,17.65,5.91,1.01,0.00,3.79,3.75,6.49,,0.00,1.35,0.00
Tom Steyer,0.00,3.23,0.27,0.00,0.68,0.26,1.53,0.65,,0.67,0.00
Tulsi Gabbard,2.94,8.60,6.71,0.00,0.81,1.37,3.05,3.27,0.00,,1.89
Uncommitted,0.00,1.08,3.01,0.00,0.27,1.40,0.38,0.00,0.00,2.69,
exhaust,5.88,14.52,26.81,25.00,6.23,51.30,16.79,8.50,6.67,30.72,78.30
