raceID,candidate,round_elected,round_eliminated,round_1_vote,round_2_vote,round_3_vote,round_4_vote,round_5_vote,round_6_vote
Payson_11052019_CityCouncil_tab1,DOUG WELTON,4.0,,1037.0,1078.0,1180.0,1548.0,,
Payson_11052019_CityCouncil_tab1,LINDA CARTER,,4.0,674.0,695.0,765.0,1021.0,,
Payson_11052019_CityCouncil_tab1,BRIAN V. HULET,,3.0,615.0,652.0,693.0,0.0,,
Payson_11052019_CityCouncil_tab1,CARY KENNETH STOCKWELL,,2.0,210.0,240.0,0.0,0.0,,
Payson_11052019_CityCouncil_tab1,SCOTT PINKHAM,,1.0,139.0,0.0,0.0,0.0,,
Payson_11052019_CityCouncil_tab2,BRIAN V. HULET,4.0,,1101.0,1101.0,1184.0,1376.0,,
Payson_11052019_CityCouncil_tab2,LINDA CARTER,,4.0,957.0,957.0,1004.0,1182.0,,
Payson_11052019_CityCouncil_tab2,CARY KENNETH STOCKWELL,,3.0,343.0,343.0,419.0,0.0,,
Payson_11052019_CityCouncil_tab2,SCOTT PINKHAM,,2.0,222.0,222.0,0.0,0.0,,
Payson_11052019_CityCouncil_tab3,LINDA CARTER,1.0,,1496.0,,,,,
Payson_11052019_CityCouncil_tab3,SCOTT PINKHAM,,1.0,426.0,,,,,
Payson_11052019_CityCouncil_tab3,CARY KENNETH STOCKWELL,,1.0,598.0,,,,,
Vineyard_11052019_CityCouncil_tab1,CRISTY WELSH,6.0,,346.0,361.0,392.0,448.0,496.0,587.0
Vineyard_11052019_CityCouncil_tab1,G. TYCE FLAKE,,6.0,273.0,278.0,287.0,329.0,361.0,458.0
Vineyard_11052019_CityCouncil_tab1,DAVID LAURET,,5.0,154.0,156.0,168.0,172.0,199.0,0.0
Vineyard_11052019_CityCouncil_tab1,KEITH KUDER,,4.0,100.0,102.0,120.0,128.0,0.0,0.0
Vineyard_11052019_CityCouncil_tab1,ANTHONY JENKINS,,3.0,93.0,101.0,116.0,0.0,0.0,0.0
Vineyard_11052019_CityCouncil_tab1,HECTOR RAFAEL HERNANDEZ,,2.0,88.0,90.0,0.0,0.0,0.0,0.0
Vineyard_11052019_CityCouncil_tab1,TAY GUDMUNDSON,,1.0,35.0,0.0,0.0,0.0,0.0,0.0
Vineyard_11052019_CityCouncil_tab2,G. TYCE FLAKE,6.0,,390.0,390.0,410.0,438.0,495.0,654.0
Vineyard_11052019_CityCouncil_tab2,DAVID LAURET,,6.0,212.0,212.0,218.0,248.0,287.0,348.0
Vineyard_11052019_CityCouncil_tab2,ANTHONY JENKINS,,5.0,163.0,163.0,185.0,212.0,245.0,0.0
Vineyard_11052019_CityCouncil_tab2,KEITH KUDER,,4.0,121.0,121.0,124.0,153.0,0.0,0.0
Vineyard_11052019_CityCouncil_tab2,HECTOR RAFAEL HERNANDEZ,,3.0,113.0,113.0,121.0,0.0,0.0,0.0
Vineyard_11052019_CityCouncil_tab2,TAY GUDMUNDSON,,2.0,64.0,64.0,0.0,0.0,0.0,0.0
