contest_name,place,state,year,date,office,rcv_type,contest_rank_limit,number_of_winners,tabulation_num,winner,unique_id,win_threshold,number_of_candidates,number_of_rounds,winners_consensus_value,total_ballots,first_round_active_votes,final_round_active_votes,total_fully_ranked,ranked_single,ranked_multiple,ranked_3_or_more,total_undervote,first_round_overvote,total_ballots_with_overvote,total_pretally_exhausted,total_posttally_exhausted,total_posttally_exhausted_by_overvote,total_posttally_exhausted_by_skipped_rankings,total_posttally_exhausted_by_abstention,total_posttally_exhausted_by_rank_limit,includes_duplicate_ranking,includes_skipped_ranking,total_irregular
,,,,,,,The number of rankings allowed on the ballot.,Number of winners a contest had.,Tabulation number,The winner(s) of the election.,,"Election threshold, if static, otherwise NA","The number of candidates on the ballot, not including write-ins.",Number of rounds in the tabulation.,The percentage of valid first round votes that rank any winner in the top 3.,This includes ballots with no marks. (weighted),The number of votes that were awarded to any candidate in the first round. (weighted),The number of votes that were awarded to any candidate in the final round. (weighted),"The number of voters that have validly used all available rankings on the ballot, or that have validly ranked all non-write-in candidates. (weighted)",The number of voters that validly used only a single ranking. (weighted),The number of voters that validly use more than one ranking. (weighted),The number of voters that validly used 3 or more rankings. (weighted),Ballots completely made up of skipped rankings (no marks). (weighted),"The number of ballots with an overvote before any valid ranking. (weighted) Note that this is not the same as ""exhausted by overvote"". This is because some jurisdictions (Maine) discard any ballot beginning with two skipped rankings, and call this ballot as exhausted by skipped rankings, even if the skipped rankings are followed by an overvote. Other jursidictions (Minneapolis) simply skip over overvotes in a ballot.",Number of ballots with at least one overvote. Not necessarily cause of exhaustion. (weighted),Number of ballots that were exhausted prior to the first round count. (weighted),Number of ballots (excluding undervotes) that do not rank a finalist or were exhausted from overvotes/skipped ranks rules after being active in the first round. (weighted),Number of ballots exhausted due to overvote that were initially active in the first round. Only applicable to certain contests. (weighted),Number of ballots exhausted due to repeated skipped rankings. Only applicable to certain contests.(weighted),Number of initially (reached first round count) active ballots exhausted after all marked rankings used and no finalists are present on the ballot. (weighted),Number of initially (reached first round count) active ballots exhausted after all marked rankings used and no finalists are present on the ballot. Ballots are only considered as exhausted by rank limit if the final rank on the ballot was marked and the contest imposed a restrictive rank limit on voters. (weighted),The number of ballots that rank the same candidate more than once. (weighted),The number of ballots that have an skipped ranking followed by any other marked ranking. (weighted),"Number of ballots that either had a multiple ranking, overvote, or a skipped ranking (only those followed by a mark). This includes ballots even where the irregularity was not the cause of exhaustion. (weighted)"
Payson City Council 2019,Payson,UT,2019,11/5/2019,City Council,sequential_rcv,5,3,1; 2; 3,Doug Welton; Brian V. Hulet; Linda Carter,Payson_11052019_CityCouncil_tab1; Payson_11052019_CityCouncil_tab2; Payson_11052019_CityCouncil_tab3,NA; NA; NA,5,4; 4; 1,81.23364485981308; 72.16927182615326; 68.45238095238095,2764.0,2675.0; 2623.0; 2520.0,2569.0; 2558.0; 2520.0,1924.0,145.0,2532.0,2370.0,87.0,2.0,3.0,2.0; 54.0; 157.0,106.0; 65.0; 0.0,0.0; 0.0; 0.0,0.0; 0.0; 0.0,106.0; 65.0; 0.0,0.0; 0.0; 0.0,38.0,22.0,63.0
Vineyard City Council 2019,Vineyard,UT,2019,11/5/2019,City Council,sequential_rcv,7,2,1; 2,Cristy Welsh; G. Tyce Flake,Vineyard_11052019_CityCouncil_tab1; Vineyard_11052019_CityCouncil_tab2,NA; NA,7,6; 6,71.44168962350781; 66.41580432737535,1112.0,1089.0; 1063.0,1045.0; 1002.0,637.0,64.0,1025.0,942.0,23.0,0.0,3.0,0.0; 26.0,44.0; 61.0,0.0; 0.0,0.0; 0.0,44.0; 61.0,0.0; 0.0,17.0,19.0,38.0
