record #,timestamp,county code,zip,Registered,Primary,Ballot,Biden defeats Trump,Bloomberg defeats Trump,Buttigieg defeats Trump,Gabbard defeats Trump,Klobuchar defeats Trump,Sanders defeats Trump,Steyer defeats Trump,Warren defeats Trump,1st choice,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,Ranked choice voting,LDPV,Gender,Age ,<50 / 50+,Race ,Party Affiliation,Ideology,2016 vote,Education,Income,Martial status,Child < 18,Religion,Evangelical,Union HH,Military HH,LGBTQ HH,Urbanicity,Region,weight
413100XXXX,2/26/2020 0:11,15001,96721,1,5,1,45,1,45,30,45,40,5,20,,,,,,,,,2,1,59,2,5,1,3,4,2,1,3,2,4,2,2,2,2,2,4,1.433027902
396100XXXX,2/26/2020 0:00,15003,96707,1,6,1,10,5,10,0,0,15,0,5,,,,,,,,,2,1,61,2,1,1,2,1,2,3,2,2,2,2,2,2,2,2,4,0.719340883
609100XXXX,2/25/2020 22:18,15003,96706,1,2,,90,50,75,25,50,95,85,70,,,,,,,,,2,2,25,1,4,3,3,4,1,3,1,2,4,2,2,2,2,2,4,1.414341656
158510XXXX,2/26/2020 11:31,15003,96813,1,6,2,85,75,85,0,20,85,85,60,1,3,7,6,2,8,5,1,1,2,50,2,3,2,4,2,3,2,1,2,2,2,1,2,1,1,4,0.948053008
121710XXXX,2/25/2020 22:28,15003,96815,2,,,,,,,,,,,,,,,,,,,2,1,65,2,3,1,3,1,1,1,1,2,1,1,2,2,1,1,4,0.598775594
206610XXXX,2/26/2020 11:40,15003,96734,1,4,,50,70,20,5,20,80,30,40,,,,,,,,,2,1,67,2,4,3,2,2,2,1,3,2,3,2,2,1,2,2,4,0.472247226
243100XXXX,2/25/2020 22:57,15003,96744,2,,,,,,,,,,,,,,,,,,,2,1,25,1,6,4,6,4,1,2,1,3,1,1,2,2,2,3,4,1.069863145
598100XXXX,2/26/2020 11:52,15003,96826,2,,,,,,,,,,,,,,,,,,,2,1,51,2,3,4,6,4,1,1,1,2,4,2,2,2,2,1,4,0.927641389
207410XXXX,2/26/2020 11:58,15009,96793,3,,,,,,,,,,,,,,,,,,,2,1,67,2,4,3,3,4,2,2,2,2,4,2,2,2,2,3,4,0.472247226
411100XXXX,2/26/2020 0:09,15009,96784,1,6,1,0,10,10,0,0,20,0,0,,,,,,,,,2,1,51,2,3,2,3,1,3,3,2,1,2,2,2,2,2,2,4,0.927641389
767100XXXX,2/25/2020 22:19,16001,83646,1,6,2,60,75,50,20,60,65,25,50,2,6,3,5,8,7,1,5,1,2,43,1,3,2,3,2,3,2,2,1,4,2,2,2,2,2,4,0.804052797
139310XXXX,2/26/2020 11:30,16001,83713,1,4,,65,50,65,10,60,55,25,55,,,,,,,,,2,2,35,1,3,2,4,2,3,3,2,1,4,2,2,2,1,2,4,0.804052797
146610XXXX,2/26/2020 11:30,16001,83706,1,2,,0,0,0,0,0,0,0,0,,,,,,,,,2,2,74,2,3,3,1,1,1,1,2,2,1,2,2,2,2,2,4,0.71232693
298100XXXX,2/25/2020 23:03,16001,83702,1,6,1,25,15,0,0,0,25,0,0,,,,,,,,,2,1,23,1,3,1,3,1,2,1,1,2,3,3,2,2,2,1,4,1.148495507
473100XXXX,2/26/2020 11:37,16001,83702,1,6,2,75,75,50,50,50,100,50,50,2,6,1,4,5,7,8,1,1,1,54,2,3,2,4,2,2,2,2,2,4,2,2,2,2,1,4,0.927641389
195110XXXX,2/26/2020 11:32,16019,83404,1,6,1,0,0,0,0,0,0,0,0,,,,,,,,,2,1,51,2,3,1,1,1,2,1,1,2,3,2,2,2,2,1,4,0.927641389
577100XXXX,2/25/2020 22:18,16027,83605,2,,,,,,,,,,,,,,,,,,,2,2,60,2,3,4,3,4,1,1,3,2,4,3,2,2,2,3,4,0.948053008
189910XXXX,2/26/2020 11:32,16027,83656,1,6,1,0,0,0,0,0,5,0,0,,,,,,,,,2,2,65,2,3,1,1,1,1,1,3,2,1,1,2,2,2,3,4,0.71232693
280100XXXX,2/25/2020 22:14,16055,83815,1,3,,5,0,40,20,20,25,0,20,,,,,,,,,2,2,42,1,3,1,2,1,1,3,2,2,1,1,2,2,2,2,4,0.804052797
180910XXXX,2/26/2020 11:36,16055,83814,1,6,2,50,0,0,0,0,50,0,0,1,5,2,9,,,,4,1,2,52,2,3,3,2,4,2,1,2,2,1,2,2,2,2,3,4,0.948053008
210510XXXX,2/26/2020 12:40,16055,83814,2,,,,,,,,,,,,,,,,,,,2,2,27,1,3,3,6,4,2,1,1,1,4,2,2,2,1,2,4,1.100950863
182110XXXX,2/26/2020 11:34,16075,83655,1,7,1,0,0,0,0,0,0,0,0,,,,,,,,,2,1,53,2,3,1,1,1,2,2,2,2,3,1,2,2,2,3,4,0.927641389
282100XXXX,2/25/2020 23:01,17005,62246,1,5,2,20,20,20,0,0,50,0,0,6,3,9,,,,,2,1,1,33,1,1,2,4,2,1,2,1,1,1,1,2,2,2,2,2,0.605893808
413100XXXX,2/25/2020 22:16,17019,61853,1,3,,75,0,0,0,0,0,0,25,,,,,,,,,2,2,37,1,3,2,2,4,2,1,2,1,1,3,2,2,2,2,2,0.606840063
190100XXXX,2/25/2020 22:13,17029,61920,2,,,,,,,,,,,,,,,,,,,2,2,24,1,3,4,6,4,3,1,1,2,4,2,2,2,1,3,2,0.625603358
