,Amy Klobuchar,Bernie Sanders,Elizabeth Warren,Joe Biden,Michael Bloomberg,Pete Buttigieg,Tom Steyer,Tulsi Gabbard
first_choice,34.33,233.76,69.90,174.03,173.36,73.92,16.46,12.17
Amy Klobuchar,,5.93,8.66,11.13,5.99,5.67,0.00,2.07
Bernie Sanders,2.35,,31.64,65.28,43.75,19.51,2.32,3.52
Elizabeth Warren,6.31,76.64,,19.67,10.70,13.05,1.52,1.12
Joe Biden,5.63,62.84,9.92,,75.64,19.53,3.93,2.70
Michael Bloomberg,5.37,36.35,2.94,39.65,,10.78,6.04,0.00
Pete Buttigieg,8.51,24.46,9.75,17.65,27.50,,1.85,0.63
Tom Steyer,1.48,9.51,0.00,9.27,4.68,0.85,,0.65
Tulsi Gabbard,3.21,5.28,1.23,2.17,2.58,2.42,0.00,
exhaust,1.47,12.76,5.75,9.20,2.53,2.09,0.80,1.49
