,Amy Klobuchar,Bernie Sanders,Elizabeth Warren,Joe Biden,Michael Bloomberg,Pete Buttigieg,Tom Steyer,Tulsi Gabbard
first_choice,4.36,29.67,8.87,22.09,22.00,9.38,2.09,1.55
Amy Klobuchar,,2.68,13.51,6.76,3.50,7.90,0.00,19.41
Bernie Sanders,7.14,,49.32,39.60,25.61,27.17,14.82,32.94
Elizabeth Warren,19.20,34.68,,11.93,6.26,18.18,9.71,10.43
Joe Biden,17.13,28.43,15.47,,44.28,27.19,25.08,25.23
Michael Bloomberg,16.33,16.45,4.59,24.06,,15.02,38.56,0.00
Pete Buttigieg,25.91,11.07,15.20,10.71,16.10,,11.83,5.93
Tom Steyer,4.52,4.30,0.00,5.62,2.74,1.18,,6.06
Tulsi Gabbard,9.78,2.39,1.92,1.32,1.51,3.37,0.00,
