candidate,r1_count,r1_transfer,r2_count,r2_transfer,r3_count,r3_transfer,r4_count,r4_transfer,r5_count,r5_transfer,r6_count,r6_transfer,r7_count,r7_transfer
Elizabeth Warren,69.90301142800003,1.115120223,71.01813165100003,1.5202886530000002,72.53842030400003,6.784504445,79.32292474900002,-79.32292474900002,0.0,0.0,0.0,0.0,0.0,0.0
Pete Buttigieg,73.91561867000001,0.633420996,74.54903966600003,1.851615082,76.40065474800002,9.749644359,86.15029910700005,10.990746597000001,97.14104570400002,-97.14104570400002,0.0,0.0,0.0,0.0
Tom Steyer,16.457256613,0.6475613729999999,17.104817986,-17.104817986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tulsi Gabbard,12.174211400000003,-12.174211400000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bernie Sanders,233.76362153800014,3.520187975,237.28380951300014,2.320580902,239.60439041500015,2.345213195,241.94960361000017,42.050924032,284.0005276420001,35.346113938,319.3466415799998,68.355339262,387.70198084199933,272.89546746299993
Michael Bloomberg,173.36293119199996,0.0,173.36293119199996,6.037320509000001,179.40025170099997,8.118060546999999,187.51831224800006,2.942091135,190.46040338300003,18.630769910999998,209.09117329400004,-209.09117329400004,0.0,0.0
Joe Biden,174.0316252089999,2.696678403,176.72830361199988,3.926745836,180.6550494479999,6.461082295999999,187.11613174399994,17.114128743999995,204.2302604879999,38.22931136599999,242.4595718539999,125.37232278300003,367.83189463700035,-367.83189463700035
Amy Klobuchar,34.334201268,2.074358472,36.408559739999994,0.6475613729999999,37.05612111299999,-37.05612111299999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exhaust,0.0,1.486883958,1.486883958,0.8007056309999999,2.287589589,3.5976162709999997,5.885205859999999,6.225034241,12.110240100999999,4.9348504890000005,17.04509059,15.363511249,32.408601839,94.93642717400003
colsum,787.9424773180001,-2.6645352591003757e-15,787.942477318,-4.440892098500626e-16,787.9424773180001,7.105427357601002e-15,787.9424773180003,-3.4638958368304884e-14,787.9424773180001,-2.6645352591003757e-14,787.9424773179998,-1.2434497875801753e-14,787.9424773179996,-3.836930773104541e-13
