raceID,candidate,round_elected,round_eliminated,round_1_vote,round_2_vote,round_3_vote,round_4_vote,round_5_vote,round_6_vote,round_7_vote,round_8_vote,round_9_vote,round_10_vote
Alaska_2020_PRESIDENTOFTHEUNITEDSTATES_tab1,Joseph R. Biden,8.0,,9862.0,9873.0,9892.0,9946.0,9968.0,10011.0,10147.0,10834.0,,
Alaska_2020_PRESIDENTOFTHEUNITEDSTATES_tab1,Bernie Sanders,8.0,,7764.0,7766.0,7780.0,7796.0,7846.0,7862.0,7918.0,8755.0,,
Alaska_2020_PRESIDENTOFTHEUNITEDSTATES_tab1,Elizabeth Warren,,7.0,1402.0,1406.0,1415.0,1424.0,1434.0,1489.0,1604.0,0.0,,
Alaska_2020_PRESIDENTOFTHEUNITEDSTATES_tab1,Pete Buttigieg,,6.0,248.0,250.0,257.0,268.0,280.0,326.0,0.0,0.0,,
Alaska_2020_PRESIDENTOFTHEUNITEDSTATES_tab1,Amy Klobuchar,,5.0,133.0,137.0,143.0,149.0,165.0,0.0,0.0,0.0,,
Alaska_2020_PRESIDENTOFTHEUNITEDSTATES_tab1,Tulsi Gabbard,,4.0,124.0,128.0,130.0,131.0,0.0,0.0,0.0,0.0,,
Alaska_2020_PRESIDENTOFTHEUNITEDSTATES_tab1,Michael R. Bloomberg,,3.0,97.0,99.0,106.0,0.0,0.0,0.0,0.0,0.0,,
Alaska_2020_PRESIDENTOFTHEUNITEDSTATES_tab1,Tom Steyer,,2.0,65.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Alaska_2020_PRESIDENTOFTHEUNITEDSTATES_tab1,Undeclared,,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Wyoming_2020_PRESIDENTOFTHEUNITEDSTATES_tab1,Joseph R. Biden,8.0,,10105.0,10118.0,10151.0,10163.0,10215.0,10294.0,10481.0,10912.0,,
Wyoming_2020_PRESIDENTOFTHEUNITEDSTATES_tab1,Bernie Sanders,8.0,,3680.0,3685.0,3715.0,3729.0,3738.0,3773.0,3822.0,4206.0,,
Wyoming_2020_PRESIDENTOFTHEUNITEDSTATES_tab1,Elizabeth Warren,,7.0,689.0,693.0,698.0,701.0,745.0,767.0,877.0,0.0,,
Wyoming_2020_PRESIDENTOFTHEUNITEDSTATES_tab1,Pete Buttigieg,,6.0,294.0,299.0,314.0,322.0,355.0,382.0,0.0,0.0,,
Wyoming_2020_PRESIDENTOFTHEUNITEDSTATES_tab1,Michael R. Bloomberg,,5.0,154.0,162.0,166.0,167.0,178.0,0.0,0.0,0.0,,
Wyoming_2020_PRESIDENTOFTHEUNITEDSTATES_tab1,Amy Klobuchar,,4.0,140.0,144.0,156.0,162.0,0.0,0.0,0.0,0.0,,
Wyoming_2020_PRESIDENTOFTHEUNITEDSTATES_tab1,(undeclared),,3.0,148.0,149.0,154.0,0.0,0.0,0.0,0.0,0.0,,
Wyoming_2020_PRESIDENTOFTHEUNITEDSTATES_tab1,Tulsi Gabbard,,2.0,134.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Wyoming_2020_PRESIDENTOFTHEUNITEDSTATES_tab1,Tom Steyer,,1.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Kansas_2020_PRESIDENTOFTHEUNITEDSTATES_tab1,Joseph R. Biden,4.0,,102829.0,103165.0,103922.0,110041.0,,,,,,
Kansas_2020_PRESIDENTOFTHEUNITEDSTATES_tab1,Bernie Sanders,4.0,,26555.0,26907.0,27320.0,33142.0,,,,,,
Kansas_2020_PRESIDENTOFTHEUNITEDSTATES_tab1,Elizabeth Warren,,3.0,11518.0,11934.0,12434.0,0.0,,,,,,
Kansas_2020_PRESIDENTOFTHEUNITEDSTATES_tab1,Uncommitted,,2.0,4367.0,4636.0,0.0,0.0,,,,,,
Kansas_2020_PRESIDENTOFTHEUNITEDSTATES_tab1,Tulsi Gabbard,,1.0,1604.0,0.0,0.0,0.0,,,,,,
Hawaii_2020_PresidentoftheUnitedStateCD1_tab1,Bernie Sanders,10.0,,4054.0,4055.0,4057.0,4061.0,4066.0,4086.0,4141.0,4174.0,4322.0,4716.0
Hawaii_2020_PresidentoftheUnitedStateCD1_tab1,Joseph R. Biden,10.0,,8585.0,8586.0,8588.0,8601.0,8612.0,8686.0,8729.0,8885.0,8991.0,9315.0
Hawaii_2020_PresidentoftheUnitedStateCD1_tab1,Elizabeth Warren,,9.0,738.0,738.0,740.0,746.0,747.0,769.0,813.0,832.0,853.0,0.0
Hawaii_2020_PresidentoftheUnitedStateCD1_tab1,Tulsi Gabbard,,8.0,446.0,446.0,446.0,447.0,449.0,456.0,475.0,485.0,0.0,0.0
Hawaii_2020_PresidentoftheUnitedStateCD1_tab1,Michael R.,,7.0,262.0,262.0,266.0,267.0,270.0,278.0,286.0,0.0,0.0,0.0
Hawaii_2020_PresidentoftheUnitedStateCD1_tab1,Andrew Yang,,6.0,186.0,187.0,191.0,192.0,193.0,206.0,0.0,0.0,0.0,0.0
Hawaii_2020_PresidentoftheUnitedStateCD1_tab1,Pete Buttigieg,,5.0,153.0,153.0,153.0,159.0,159.0,0.0,0.0,0.0,0.0,0.0
Hawaii_2020_PresidentoftheUnitedStateCD1_tab1,Uncommitted,,4.0,106.0,106.0,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawaii_2020_PresidentoftheUnitedStateCD1_tab1,Amy Klobuchar,,3.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawaii_2020_PresidentoftheUnitedStateCD1_tab1,Tom Steyer,,2.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawaii_2020_PresidentoftheUnitedStateCD1_tab1,Deval Patrick,,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawaii_2020_PresidentoftheUnitedStateCD2_tab1,Bernie Sanders,10.0,,6723.0,6724.0,6729.0,6730.0,6773.0,6798.0,6808.0,6837.0,7138.0,7621.0
Hawaii_2020_PresidentoftheUnitedStateCD2_tab1,Joseph R. Biden,10.0,,11008.0,11010.0,11015.0,11028.0,11058.0,11137.0,11150.0,11247.0,11459.0,11900.0
Hawaii_2020_PresidentoftheUnitedStateCD2_tab1,Elizabeth Warren,,9.0,951.0,952.0,955.0,974.0,997.0,1024.0,1028.0,1040.0,1098.0,0.0
Hawaii_2020_PresidentoftheUnitedStateCD2_tab1,Tulsi Gabbard,,8.0,931.0,931.0,931.0,937.0,962.0,971.0,973.0,990.0,0.0,0.0
Hawaii_2020_PresidentoftheUnitedStateCD2_tab1,Michael R.,,7.0,198.0,198.0,201.0,203.0,205.0,217.0,219.0,0.0,0.0,0.0
Hawaii_2020_PresidentoftheUnitedStateCD2_tab1,Uncommitted,,6.0,185.0,185.0,186.0,186.0,191.0,192.0,0.0,0.0,0.0,0.0
Hawaii_2020_PresidentoftheUnitedStateCD2_tab1,Pete Buttigieg,,5.0,158.0,159.0,159.0,170.0,186.0,0.0,0.0,0.0,0.0,0.0
Hawaii_2020_PresidentoftheUnitedStateCD2_tab1,Andrew Yang,,4.0,154.0,155.0,155.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawaii_2020_PresidentoftheUnitedStateCD2_tab1,Amy Klobuchar,,3.0,59.0,60.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawaii_2020_PresidentoftheUnitedStateCD2_tab1,Tom Steyer,,2.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
