fv_db_col,cruncher_col,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurisdiction,jurisdiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Date,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winner,winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Election?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incumbent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of candidates,n_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of rounds,n_rounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total ballots cast,total_ballots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First round active votes,first_round_active_votes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final round active votes,final_round_active_votes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First round vote for winner,first_round_winner_vote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First round percent for winner,first_round_winner_percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First round place for winner,first_round_winner_place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final round votes for winner,final_round_winner_vote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final round percent for winner,final_round_winner_percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winner's consensus value,winners_consensus_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winner's Final Round Votes as Percent of First Round Valid Votes,final_round_winner_votes_over_first_round_active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fully ranked ballots,total_fully_ranked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballots with 2+ Rankings,ranked_multiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballots Ranking the Winner,ranked_winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Round Undervote,total_undervote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Round Overvotes,first_round_overvote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Ballots with Overvotes,includes_overvote_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inactive by Overvote,total_posttally_exhausted_by_overvote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inactive by Skipped Rankings,total_posttally_exhausted_by_skipped_rankings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inactive by Abstention,total_posttally_exhausted_by_abstention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inactive by ranking limit,total_posttally_exhausted_by_rank_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Inactive,total_posttally_exhausted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Includes duplicate rankings,includes_duplicate_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Includes skipped rankings,includes_skipped_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnout Percent (percent of registered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Registered Voters in Jurisdiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Condorcet winner?,condorcet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Come From Behind Winner?,come_from_behind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Rankings Permitted,rank_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballot Style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballot Marking Style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voting Equipment Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link to full results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVR Available?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RaceID,unique_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
