candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer
"Brakey, Eric L.",22.533,9542.0,-9542.0,0.0,0.0,
"Crafts, Dale John",45.663,19337.0,3551.0,58.545,22888.0,
"Bennett, Adrienne",31.804,13468.0,2739.0,41.455,16207.0,
exhaust,0.0,318.0,3252.0,0.0,3570.0,
colsum,100.0,42665.0,0.0,100.0,42665.0,
