candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer
"Bell, Arthur L.",39.23,978.0,296.0,52.797,1274.0,
"Abbott, Heather",35.78,892.0,247.0,47.203,1139.0,
"Fromuth, Peter J.",24.99,623.0,-623.0,0.0,0.0,
exhaust,0.0,6.0,80.0,0.0,86.0,
colsum,99.99999999999999,2499.0,0.0,100.0,2499.0,
