candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer
"Curry, Glenn Chip",43.455,2294.0,513.0,55.927,2807.0,
"Pattavina, Charles F.",24.929,1316.0,-1316.0,0.0,0.0,
"Stanicki, Robyn M.",31.616,1669.0,543.0,44.073,2212.0,
exhaust,0.0,17.0,260.0,0.0,277.0,
colsum,100.0,5296.0,0.0,100.0,5296.0,
