candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer
"Crafts, Lydia V.",49.901,1010.0,133.0,57.698,1143.0,
"Pieh, Wendy",36.611,741.0,97.0,42.302,838.0,
"Levesque, David J.",13.488,273.0,-273.0,0.0,0.0,
exhaust,0.0,6.0,43.0,0.0,49.0,
colsum,100.0,2030.0,0.0,100.0,2030.0,
