Ballots with first choice:,Number of Ballots,% of votes to MARJAN PHILHOUR,% of votes to CONNIE CHAN,% of votes to exhaust,percent_sum
AMANDA INOCENCIO,552.0,40.04,48.55,11.41,100.0
ANDREW N. MAJALYA,242.0,57.02,19.42,23.55,100.0
CONNIE CHAN,10651.0,0.0,100.0,0.0,100.0
DAVID E. LEE,4996.0,43.23,39.99,16.77,99.99999999999999
MARJAN PHILHOUR,9954.0,100.0,0.0,0.0,100.0
SHERMAN R. D'SILVA,1230.0,52.11,21.06,26.83,99.99999999999999
VERONICA SHINZATO,1033.0,45.98,32.62,21.39,99.99999999999999
writeIns,44.0,45.45,13.64,40.91,100.0
