Ballots with first choice:,Number of Ballots,% of votes to SPENCER SIMONSEN,% of votes to AARON PESKIN,% of votes to writeIns,% of votes to DANNY SAUTER,% of votes to STEPHEN (LULU) SCHWARTZ,% of votes to exhaust,percent_sum
AARON PESKIN,12703,0,100,0,0,0,0,100
DANNY SAUTER,8164,0,0,0,100,0,0,100
SPENCER SIMONSEN,1166,100,0,0,0,0,0,100
STEPHEN (LULU) SCHWARTZ,1106,0,0,0,0,100,0,100
writeIns,22,0,0,100,0,0,0,100
