"srprec,C,20","tract,C,20","block,C,20","blkreg,N,7,0","srtotreg,N,7,0","pctsrprec,N,6,2","blktotreg,N,7,0","pctblk,N,6,2"
NULL,0,0,1,0,0,1,100
1101,25500,5008,162,485,33.4,162,100
1101,25500,6013,13,485,2.68,13,100
1101,25500,6014,9,485,1.86,9,100
1101,25500,6023,137,485,28.25,137,100
1101,25500,6024,58,485,11.96,58,100
1101,25500,6025,1,485,0.21,1,100
1101,25500,6029,105,485,21.65,105,100
1102,25500,4007,55,879,6.26,55,100
1102,25500,4008,4,879,0.46,4,100
1102,25500,5000,58,879,6.6,58,100
1102,25500,5001,62,879,7.05,62,100
1102,25500,5002,21,879,2.39,21,100
1102,25500,5003,13,879,1.48,13,100
1102,25500,5004,59,879,6.71,59,100
1102,25500,5005,25,879,2.84,25,100
1102,25500,5006,70,879,7.96,70,100
1102,25500,5007,92,879,10.47,92,100
1102,25500,5009,79,879,8.99,79,100
1102,25500,5010,70,879,7.96,70,100
1102,25500,6022,76,879,8.65,76,100
1102,25500,6027,39,879,4.44,39,100
1102,25500,6028,19,879,2.16,19,100
1102,25500,6030,74,879,8.42,74,100
1102,25500,6031,63,879,7.17,63,100
1103,25500,3000,38,843,4.51,38,100
1103,25500,3002,42,843,4.98,42,100
1103,25500,3003,83,843,9.85,83,100
1103,25500,4000,97,843,11.51,97,100
1103,25500,6009,67,843,7.95,67,100
1103,25500,6010,92,843,10.91,92,100
1103,25500,6017,37,843,4.39,37,100
1103,25500,6018,172,843,20.4,172,100
1103,25500,6019,26,843,3.08,26,100
1103,25500,6020,24,843,2.85,24,100
1103,25500,6021,26,843,3.08,26,100
1103,25500,6032,139,843,16.49,139,100
1104,25500,1025,23,835,2.75,31,74.19
1104,25500,2027,109,835,13.05,109,100
1104,25500,2028,84,835,10.06,84,100
1104,25500,2029,33,835,3.95,33,100
1104,25500,2030,53,835,6.35,53,100
1104,25500,3005,78,835,9.34,78,100
1104,25500,3006,73,835,8.74,73,100
1104,25500,3008,83,835,9.94,83,100
1104,25500,3009,70,835,8.38,70,100
1104,25500,4002,76,835,9.1,76,100
1104,25500,4003,47,835,5.63,47,100
1104,25500,4004,63,835,7.54,63,100
1104,25500,4005,43,835,5.15,82,52.44
1106,31301,1004,84,697,12.05,84,100
1106,31301,1005,86,697,12.34,86,100
1106,31301,1006,40,697,5.74,40,100
1106,31301,2004,84,697,12.05,84,100
1106,31301,2005,71,697,10.19,71,100
1106,31301,2006,31,697,4.45,31,100
1106,31301,2008,1,697,0.14,1,100
1106,31301,2009,66,697,9.47,66,100
1106,31301,2010,64,697,9.18,64,100
1106,31301,2011,93,697,13.34,93,100
1106,31301,2012,77,697,11.05,77,100
1107,31301,1000,82,649,12.63,82,100
1107,31301,1001,78,649,12.02,78,100
1107,31301,1002,74,649,11.4,74,100
1107,31301,1003,72,649,11.09,72,100
1107,31301,2000,91,649,14.02,91,100
1107,31301,2001,86,649,13.25,86,100
1107,31301,2002,80,649,12.33,80,100
1107,31301,2003,86,649,13.25,86,100
1108,31201,4002,74,831,8.9,74,100
1108,31301,3000,19,831,2.29,19,100
1108,31301,3001,62,831,7.46,62,100
1108,31301,3002,80,831,9.63,80,100
1108,31301,3003,77,831,9.27,77,100
1108,31301,3004,96,831,11.55,96,100
1108,31301,3005,101,831,12.15,101,100
1108,31301,3006,95,831,11.43,95,100
1108,31301,3007,88,831,10.59,88,100
1108,31301,3008,115,831,13.84,115,100
1108,31301,3009,24,831,2.89,24,100
1109,31201,1011,99,703,14.08,99,100
1109,31201,4000,123,703,17.5,123,100
1109,31201,4001,118,703,16.79,118,100
1109,31201,4003,78,703,11.1,78,100
1109,31201,4004,91,703,12.94,91,100
1109,31201,4005,100,703,14.22,100,100
