Ballots with first choice:,Number of Ballots,"JACK L VALENCIA, JR ranked in top 3",JASON D ESTRADA ranked in top 3,PHILIP A VANVEEN ranked in top 3,TESSA ABEYTA STUVE ranked in top 3
"JACK L VALENCIA, JR",373.0,100.0,27.61,42.9,46.11
JASON D ESTRADA,122.0,47.54,100.0,42.62,43.44
PHILIP A VANVEEN,783.0,44.57,30.27,100.0,37.55
TESSA ABEYTA STUVE,970.0,44.12,27.01,33.92,100.0
