Ballots with first choice:,Number of Ballots,"JACK L VALENCIA, JR ranked in top 3",JASON D ESTRADA ranked in top 3,PHILIP A VANVEEN ranked in top 3,TESSA ABEYTA STUVE ranked in top 3
"JACK L VALENCIA, JR",373,373,103,160,172
JASON D ESTRADA,122,58,122,52,53
PHILIP A VANVEEN,783,349,237,783,294
TESSA ABEYTA STUVE,970,428,262,329,970
