,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Did Not Rank
Andy Montroll,22.96,52.32,67.84,73.36,74.59,25.41
Bob Kiss,28.77,44.40,55.10,63.33,68.79,31.21
Dan Smith,14.54,37.99,58.08,66.40,67.80,32.20
James Simpson,0.39,3.81,11.13,22.66,37.71,62.29
Kurt Wright,32.85,43.91,51.93,59.90,67.73,32.27
writeIns,0.40,0.91,1.38,1.87,2.66,97.34
